Regulator	Module	Score	Overall_rank
ZSCAN25	90	2.76090609587976	89
MYT1L	15	2.7596451502383914	90
HES5	14	2.7533147142758576	91
ZNF217	57	2.743134047518917	92
LYL1	24	2.73383076668846	93
MYT1	5	2.724834080507394	94
ZBTB12	23	2.6625893550211805	96
ZBTB7C	52	2.6398118088756424	97
MYT1L	57	2.628816799519249	98
RUNX2	28	2.574617968757526	99
ZNF704	63	2.570913204309928	100
ZNF704	10	2.52810860457526	101
ZNF566	3	2.437219506692038	103
FOS	33	2.3817844888351947	104
ZNF445	50	2.362752206740064	105
RUNX2	63	2.34251506146136	106
MEF2C	59	2.3348418105431854	107
ZNF395	58	2.288478782816381	108
SP110	34	2.238662056539082	109
SIX1	20	2.1910406143960857	111
ZNF786	90	2.1679105160440626	112
ZKSCAN5	90	2.131489824403762	113
ZNF778	53	2.1136496702655383	114
PLSCR1	34	2.0919426741676945	115
CREB1	42	2.0841853391132186	116
STAT6	17	2.081965691936601	117
MLX	19	2.0699831092578007	118
NFIC	41	2.064964243440147	119
RFX4	32	2.0516000864202035	120
ZNF787	51	2.0179471313078183	122
ZNF572	78	2.0049704890420976	123
ZNF510	4	1.9537252816571216	124
TCF4	6	1.9379453075094544	125
EMX2	44	1.93244242397776	127
ZBTB40	95	1.8629699432042712	129
KLF8	101	1.8624893268240592	130
PURG	10	1.840202996564156	131
CEBPA	89	1.8162580019071723	132
ZNF333	37	1.8006394724652348	134
KLF3	28	1.7758884407914044	136
ZNF615	68	1.731563049330937	137
NFIC	86	1.7299923450087071	138
ASCL1	14	1.7021351045405155	140
ZBTB17	67	1.6987758523293837	141
SOX11	23	1.690559495409475	142
TBX3	45	1.682745603292482	143
FOXM1	81	1.673376115103526	144
ZNF217	23	1.6653204118814795	145
ETV7	55	1.6490976315296606	148
GMEB2	51	1.6486660576372256	149
MAFF	43	1.6428898017865683	150
CC2D1A	26	1.6225807538927215	151
ZNF14	37	1.6213009822641091	152
ZNF549	83	1.618125243878206	153
POU3F2	61	1.588773868649346	154
ZBTB18	15	1.57125035496043	155
ZNF146	71	1.5571916930329388	156
MYT1	30	1.533614675235854	157
FOXC2	7	1.5322304905687494	158
SOX10	1	1.5095257171470091	159
ZNF24	27	1.506408355141718	160
DBP	19	1.4838716708917936	162
FOXL1	78	1.4536149080579457	163
CEBPA	24	1.4503509722948311	164
ZNF713	65	1.4471068908291878	166
ZNF649	20	1.4388307337145063	167
KLF12	10	1.412724705563877	169
ZNF558	16	1.410424929290296	170
ZNF283	71	1.4101968026213472	171
NR2F6	51	1.3959335860593556	172
CSRNP2	58	1.3872503762961268	173
FOXQ1	45	1.387034352047549	174
RORB	70	1.360981479625607	177
ZNF217	49	1.3190063307406583	179
RUNX2	11	1.318631155709167	180
ZHX3	32	1.287132668725127	183
NFIL3	43	1.2656577543355685	185
ATMIN	73	1.2385799730198797	187
SATB1	57	1.2364300136363775	188
IRF3	51	1.2327058694960296	189
RFX5	95	1.2286281448389686	190
KLF6	33	1.225676498981891	191
ZNF408	51	1.2244871395525183	192
NFIB	78	1.21865250732125	193
CEBPD	73	1.2160793587287069	194
FOXS1	7	1.2099764166288278	196
ZNF84	6	1.2070242961670292	198
SOX8	23	1.1937692982327823	199
ZNF442	46	1.193597412223204	200
MAZ	67	1.185271342512091	201
DBX2	30	1.1776283080944494	202
ZNF487	32	1.1704677093751148	203
SKI	86	1.1693488287467249	204
GRHL1	36	1.1639403124536067	205
MYRF	38	1.163791761176115	206
ZNF616	9	1.1591805017125156	207
SOX4	30	1.133004943970345	209
ZNF891	6	1.1284647961140215	210
SP2	41	1.1269885381311555	211
SATB1	15	1.1205718032102925	212
GLI1	95	1.1204563951624436	213
VDR	12	1.1187779555686783	215
SOX10	15	1.1054036736480333	216
KLF16	103	1.1003452574370114	217
ZNF253	6	1.094905812736279	218
SOX10	30	1.091826893713342	219
MEF2A	25	1.0801330289061295	220
ZNF793	71	1.0788811798552356	221
ZNF630	39	1.0764984268563678	222
CSRNP3	12	1.074328534074608	223
ZNF628	51	1.0704574206725033	224
ZBTB38	67	1.0669951001362534	225
ZNF641	58	1.0669428936170071	226
ZSCAN16	53	1.0639101694535242	227
ETV7	78	1.051801262818305	228
PLSCR1	72	1.0503140889268692	229
STAT6	46	1.042831391803943	231
SP3	27	1.0300208611903694	234
FOXS1	61	1.0279174921702552	235
ZNF208	16	1.0271445192822648	236
ESR2	25	1.0056256248552806	240
HES5	63	1.0047941964858915	241
SP4	27	0.9994333779671756	243
ST18	13	0.9983266788599432	244
SP100	34	0.9979957211682372	245
MEIS1	65	0.9956467442053056	246
ZNF445	17	0.9936376633229816	247
PBX1	7	0.9911097603804516	248
ZFP2	17	0.98456693880553	249
MYB	32	0.9812333943500876	250
STOX2	10	0.9579383708577188	254
ZNF615	83	0.951870391305577	257
ZNF793	3	0.9492164808097758	258
STAT6	20	0.94776276655113	259
ZNF254	3	0.9458005133345538	260
PBX1	17	0.9310265429926036	261
ZNF775	26	0.9271137434758884	262
VDR	11	0.908086682032682	267
MAX	14	0.8957637286685535	269
SOX10	57	0.8951923836859547	270
ATF6	28	0.894204098456467	271
MXD4	55	0.8932488773558352	272
ZBTB8B	50	0.8911199587816051	273
TFEB	40	0.8904090009104162	274
POU6F2	2	0.8842884193350946	276
IRF8	59	0.8810160988885863	277
RXRG	83	0.8728021940930663	280
HEYL	78	0.8707269849530304	281
ZNF25	38	0.8669559340461475	282
SOX15	4	0.8662822326455114	283
TBX18	7	0.8521629004145935	285
ZBED1	25	0.8515305687254208	286
ZNF423	49	0.8470896132556652	287
ZNF93	74	0.8446013398072906	288
ZNF577	46	0.8421227957556845	289
ZNF573	71	0.8403140771661642	291
POU6F2	16	0.8368237549514098	292
STAT3	43	0.8291341301703803	293
NR4A3	33	0.8285381848431064	294
POU6F2	59	0.8257720303309257	295
ZNF814	9	0.8207195466789092	296
TFAP2E	55	0.8156746567024193	298
OLIG1	21	0.8155784701457477	299
TFAP4	12	0.8083513476647672	300
GRHL3	19	0.8076429210187538	301
ZNF704	12	0.8070498233198025	302
ELK4	42	0.8057687069778157	303
TFAP4	25	0.8005842041127357	305
ZNF254	46	0.7997316558332881	306
ZNF131	42	0.7990282125368392	307
ZBTB12	10	0.7924779554879641	308
ZNF17	9	0.7862894263368359	309
SOX6	49	0.7857006791811549	310
ELF4	27	0.7830117270368294	312
ZNF254	6	0.7809106519395308	313
ZNF558	101	0.7725279460651145	316
SPI1	11	0.7697685942205934	318
FOSL2	27	0.7634862515363954	321
ZNF37A	38	0.763010302102601	322
ST18	44	0.7583534014850545	323
VENTX	28	0.7562682256458897	325
RFX4	19	0.7532937987622318	326
ZBTB45	26	0.7529774747160718	327
ZNF461	71	0.7489051289125092	329
GTF2IRD1	101	0.7464091826878209	332
POU6F2	38	0.7423049592672033	334
ZBED3	17	0.7405870483808568	335
ZNF519	27	0.7380543993911228	336
ZNF366	45	0.7282118093966952	338
ZNF614	3	0.728057800164919	339
GTF2I	90	0.7248952716104012	341
ZNF511	34	0.7191250274195363	343
ZNF524	49	0.7183244483569747	344
SOX9	65	0.7174812339703619	345
TBX1	65	0.7173489774549383	346
SATB1	49	0.7132790046749775	348
KLF13	95	0.7109009186225271	349
SIX1	44	0.7092664590661877	350
SKI	41	0.7075777363701472	351
ZNF592	32	0.7029892579331276	353
ZNF283	68	0.7024951944191706	354
OLIG2	21	0.6988265790311118	356
ZNF211	83	0.6918826373666483	357
KLF15	19	0.6866492502153653	358
ZBTB47	19	0.685179636698585	359
ZNF512	49	0.6823891982448764	362
SALL1	32	0.6809886397149173	363
SNAI3	24	0.6804568451256869	364
ZNF592	86	0.6783589340598576	366
VENTX	11	0.6783268191404425	367
ZNF569	71	0.6781045459297125	368
ZNF672	67	0.6762035958228574	369
POU6F2	15	0.6690188713635679	372
ZNF433	101	0.6648635488347183	373
ZSCAN25	13	0.6642800223309621	374
ZNF808	2	0.6642729823609426	375
ZNF780B	71	0.6597338628148467	379
STAT1	34	0.6538031231276933	382
TEAD3	78	0.6535398757094337	383
ZNF878	67	0.6523242548188649	384
NR3C2	44	0.64843036039018	385
ZKSCAN5	29	0.6473549851944953	386
ZNF396	96	0.64638070080426	387
TFAP2E	78	0.6450525985949517	388
CSRNP3	10	0.6449397217722785	389
ZNF404	53	0.6377576076389513	391
FOSL2	63	0.636776995185777	392
SPI1	89	0.635876274527207	393
FOSL2	4	0.6356922860972575	394
ELK1	21	0.634536940006182	395
HIC1	7	0.6339921728879266	396
SNAI2	7	0.6327849366807519	397
SOX21	32	0.6304519380767414	399
ZNF619	0	0.6282851302256643	400
MSX2	32	0.6281565123464307	401
ZNF396	8	0.6277179775847627	402
FOXL1	7	0.6259448543492739	403
ZNF17	83	0.6252947249830855	404
ZNF215	61	0.6233790621298974	405
ETV7	15	0.6222006186090949	406
ENO1	58	0.6210481201463419	407
PBX1	14	0.6176821443683373	408
PLAGL2	86	0.6128100896108671	413
POU6F2	70	0.6123062175993547	414
IRF4	27	0.6083757786071975	416
ZNF649	21	0.604064864830837	418
E2F1	81	0.5993862905977245	420
ZNF107	23	0.5972479590298728	421
ZNF711	14	0.5958499317250893	423
FOXJ2	41	0.5936755301984856	424
ZNF19	36	0.5929405256881287	425
ZNF66	17	0.5906303081106982	426
ZNF548	9	0.5841983067379946	428
ZNF534	1	0.5828110371402073	429
NPAS3	16	0.5818590591718317	430
ZNF69	23	0.577495938876225	433
ZNF774	50	0.5767910717656147	434
SOX8	21	0.5766055804207173	435
ZNF782	17	0.576428157356067	436
PATZ1	10	0.5758776158803799	438
ZNF444	26	0.5745357501341796	441
FOXG1	65	0.5716054614895204	442
ZNF285	46	0.5713731424788748	443
ZNF599	9	0.5695223422708108	447
PRDM4	19	0.5694954480033204	448
STAT6	10	0.5620624261744644	450
EGR1	33	0.5603437242802506	451
MYT1L	49	0.5599307390726986	453
ZNF142	17	0.5580675200411169	454
ZNF169	8	0.5577550719335072	455
THRA	14	0.5576511334997352	456
KCNIP3	15	0.5567367284050595	457
ZNF141	53	0.5536150158564977	459
MEF2C	44	0.5482627402227495	460
ZGPAT	101	0.547745341976705	462
ZNF837	55	0.5389589847875718	464
ZBTB8B	46	0.5350910354169366	468
E2F3	30	0.5309996263237702	470
ZNF891	46	0.5305166369199562	471
MXD3	25	0.5273162981893782	472
E2F2	30	0.5264404151778433	473
PGBD1	46	0.5262416349007742	475
ZNF711	6	0.5234451056864868	478
ZNF573	3	0.5204610285068468	479
ZNF576	38	0.5156619046747477	481
ZNF527	71	0.5155880245399357	482
SRF	43	0.5140176366208531	484
ELF1	28	0.5137204549650835	485
NFIB	25	0.5131521949131673	486
SALL3	25	0.5129053213577623	487
BCL11B	30	0.5088325009494792	489
ZBTB12	20	0.5085846781846332	490
IRF3	49	0.5067811802470377	491
RELB	27	0.5063121916824761	492
MYT1L	13	0.5059851099293201	493
ZNF317	37	0.4981720088201945	495
ZNF208	40	0.4967387816653132	497
ZNF334	59	0.4960150094666729	498
ZBTB39	43	0.4956749551844921	499
POU2F1	17	0.4947092927800111	501
ZSCAN26	17	0.4937302623425716	503
GRHL1	38	0.4937177644182672	504
ZNF560	38	0.4933584095441226	505
NR2C2	23	0.4930239714178001	506
LRRFIP1	43	0.4854619362057767	507
ELF2	101	0.4850090051009227	508
CREB3L4	103	0.4842923519730887	509
ZNF33A	38	0.4810195569218599	513
MECOM	45	0.4793302014195254	514
PKNOX2	52	0.4773801297241068	515
ZNF275	32	0.4717131120599332	520
NR2F1	25	0.471410156046732	521
ZBTB5	7	0.4705206676998783	522
HHEX	89	0.467496170018216	523
ZNF487	36	0.4668541089322746	524
KLF16	51	0.4636951399131598	528
MXD4	95	0.4626957805735291	529
ZBTB12	46	0.4618157052202972	530
LEF1	61	0.4616379657524999	531
ZNF674	63	0.4616023703984684	532
TEAD2	39	0.4604146720856177	533
ETV7	34	0.4601939017898357	534
ZNF264	83	0.4596637683171267	535
ZNF572	7	0.4587458036870478	536
NFE2L2	46	0.4587421650508581	537
ZNF66	50	0.4568535546667339	539
RBPJ	42	0.454499277951091	541
ZNF43	37	0.4524644102122909	542
SPI1	28	0.4519361751584634	543
NFIB	7	0.4497546545610535	545
ERG	61	0.4496553039729123	546
VENTX	34	0.449384779282273	547
ZNF19	71	0.4492984803239432	548
ZNF493	50	0.4481213815165152	549
ZNF581	49	0.4472408315585629	552
RELB	10	0.447117671633614	553
ZNF519	30	0.4456047899864889	555
NFE2L3	43	0.4430441393182501	557
ZNF197	6	0.4426798010945412	558
RUNX1	7	0.4397915149676392	561
ZNF362	45	0.4389611149084779	562
NFKB1	63	0.4380249570974497	565
ZFHX3	41	0.4379382626351863	566
STAT6	6	0.4378844741002054	567
ZNF266	55	0.4370146818492493	568
ZNF853	26	0.4357767545368208	569
NFIA	63	0.4355324122065913	570
ATF1	78	0.4351505136082267	572
ZHX2	14	0.4324197171477175	573
E2F1	67	0.4310701786252036	575
ZNF793	59	0.4305377512296792	576
SOX8	10	0.4304296995549969	577
DBP	95	0.4299899782815279	578
SP3	42	0.4299357151418266	579
TCF7L2	7	0.4294718681284029	580
SP140L	55	0.4267990525445716	581
ZNF727	101	0.4258268247747915	584
MAFG	44	0.4247361040264799	585
ZNF398	17	0.4245839141127986	586
MNT	41	0.4233716154552727	587
SOX10	13	0.4230987177410312	589
NR1D1	2	0.4230504662611219	590
TFAP2E	1	0.4230397876549125	591
RELB	34	0.4218729719497602	593
SLC2A4RG	26	0.4204841203362381	595
ZC3H8	72	0.4184134199410462	596
ZNF383	3	0.4173056134227995	598
TAL1	49	0.4155416658785723	600
ZNF527	3	0.4145903207164906	601
MYCN	21	0.4144937386558852	602
ZNF469	30	0.4144216778391681	603
ZSCAN16	46	0.4123715436485277	604
ZNF600	47	0.411780977174752	605
ST18	16	0.4111701608995715	607
ZNF395	43	0.4093055971546153	609
ZNF18	65	0.4087089399202608	611
ZNF578	53	0.4066593594351276	613
NR6A1	20	0.4035939666467223	618
ZNF83	74	0.4020434330251105	620
ZNF350	9	0.3990975615254644	622
RORB	44	0.3989771701280512	623
HES6	25	0.3974533725723564	625
ZNF625	96	0.3973757747005678	626
PGBD1	50	0.3972923233705606	627
E2F5	16	0.3968538677096794	628
HLF	2	0.3966724105049055	629
STAT3	6	0.3953152783068649	630
OSR1	21	0.3949301365762441	632
RFX8	27	0.3940638247599044	633
ZNF146	44	0.3928948733335102	635
MYRF	57	0.3907942728409318	638
KLF17	20	0.3891079231684933	639
ZNF581	51	0.3882296671333563	640
ZBTB8B	17	0.3877358409217594	642
STOX2	39	0.3867526181426229	645
POU6F2	101	0.3867242209601845	646
ZNF384	17	0.3804735185906812	649
STAT6	63	0.379058563717536	650
ZNF606	50	0.3784601662658733	652
NPAS3	61	0.3776841084472001	654
FOXP4	36	0.3770118308607253	656
PPARG	59	0.376248112764783	657
ZNF585A	37	0.3755869883892381	658
ZNF285	71	0.3737000391216354	659
VDR	27	0.3726172284519975	660
ZNF227	3	0.3713350837997832	661
ZNF610	53	0.369815320384212	662
ZNF835	26	0.3697200830369811	663
ZNF227	71	0.3687127345178899	664
ZHX2	95	0.3686993664849314	666
NFE2L3	27	0.3660784410171994	670
ZNF165	36	0.3658540320852275	671
MYT1	57	0.3657474833254932	672
ZNF775	29	0.3654701559671945	673
RORB	30	0.3637858629152111	676
HLF	19	0.3619530185857363	679
ZBTB5	19	0.3616015737902653	680
ZNF670	53	0.3610899499016528	682
ZNF248	78	0.3600852908093106	684
ZNF366	61	0.3597248285241517	685
ZNF319	41	0.3568607472379912	686
POU3F2	27	0.3548447054864343	688
FOXJ3	53	0.3527687844393177	692
BCL6	47	0.3502877882633228	694
CREB3L1	14	0.3495107812352088	695
ZNF726	6	0.3471897268499954	697
ZNF483	44	0.346647095452982	699
ZEB1	46	0.34632839838322	700
SOX8	49	0.3459971242883669	701
ZNF449	86	0.345792569653866	702
SOX10	16	0.3451649049111107	703
MXD4	78	0.3438754829865166	705
HES4	67	0.3432131720991707	706
SP3	103	0.3425535506385738	708
RREB1	41	0.3423941625532994	709
ZNF517	45	0.3413081087514053	711
FOXP4	41	0.3410381377662731	712
ZNF727	16	0.3407315431168818	713
PBX1	63	0.3383668250973898	715
LHX6	59	0.337996712516249	716
ZNF431	6	0.3378332902908511	717
ZNF182	39	0.3372732567207557	719
ZNF333	26	0.3356834891089226	721
ZNF416	83	0.3345548790837641	725
RUNX1	72	0.3310683537067729	726
FOXL1	61	0.3303554183159155	727
ZNF215	1	0.3283010917835781	729
CREB3L1	86	0.3271418697539526	730
ZBTB7B	10	0.3269493384390355	731
STAT6	11	0.3269270320171758	732
RARA	58	0.3263469859480359	733
MYCL	15	0.3259608950079743	734
RUNX2	16	0.3256130888486934	736
RORA	21	0.3243130674186766	738
NFKB1	4	0.3223546110398639	742
ZNF726	13	0.3220612262218578	743
E2F1	20	0.3210926370882675	745
MYT1	49	0.3207954554324979	746
HHEX	28	0.3198613542419249	748
ZNF316	58	0.3194935355835994	749
SP140L	72	0.3193422948793589	751
CEBPB	4	0.3191342598102416	752
ZNF841	9	0.3180772359970797	755
SIX5	51	0.3177099710442616	756
ZNF606	71	0.3164758405695964	760
ZNF112	71	0.3146613476226444	762
IRF1	11	0.314526322579685	763
ZNF727	1	0.3120649433988008	767
STAT2	13	0.3112646807393861	768
ZNF417	9	0.3111915125116547	769
ZNF266	101	0.3103715537563427	771
ATOH8	49	0.310314996693826	772
ZNF536	16	0.3100216118758198	773
ZNF532	2	0.3098676817448302	774
MLXIP	65	0.3082944461974251	775
ZNF583	6	0.3076465316532652	779
SNAI2	78	0.3065399907476063	780
SOX17	45	0.3063597200546334	781
ZNF614	71	0.3063570306278844	782
ZSCAN16	103	0.3063512562704526	783
ONECUT2	103	0.3055730627305375	785
STOX2	5	0.3055552650535217	786
POU5F1B	95	0.3054013349225322	787
MSC	74	0.3047705061483075	788
ZNF141	6	0.3044174002363151	790
KLF11	34	0.3033419459398436	791
ZNF519	6	0.3033084072062673	792
ZNF260	59	0.3032709925341408	793
ZNF880	74	0.3030581323170325	794
SNAI1	14	0.3024221619916699	796
ZNF213	78	0.3023701136739972	797
TFCP2L1	30	0.3022494849742238	798
IRF8	24	0.3021603383875716	799
CREB3L4	36	0.301963772932531	800
HLX	78	0.2991939797841607	804
ZFHX4	24	0.2982482507779374	806
ZNF274	103	0.2972332294825326	810
MEIS1	36	0.2971015266726162	812
MECOM	44	0.2970748697074859	813
SLC2A4RG	53	0.2969971136341238	814
ZNF492	40	0.2963300566995736	816
MZF1	55	0.2961611765198909	817
RELB	46	0.2953821919721084	819
ZKSCAN2	7	0.2937941645775835	823
ATF5	14	0.2934253967098172	825
LEF1	28	0.2932912417755118	826
ZNF543	83	0.2920336183671859	828
STAT3	52	0.2916151752053491	829
KLF12	12	0.2914885348457837	830
RFX5	101	0.2906048999571486	831
ZSCAN21	29	0.2905109282225054	832
ZSCAN21	90	0.2904364152813996	833
ZNF396	27	0.2904275559932851	834
CIC	86	0.2902389797177049	835
ZNF780A	71	0.2874911765880473	840
ZNF512	47	0.2872586993758282	841
MAFB	52	0.2858855888188669	843
SOX10	38	0.2850373910826898	845
TCF7L1	7	0.2845330444664569	846
ONECUT2	53	0.2843904257479707	847
ZNF572	13	0.2843207379548557	848
STOX2	21	0.2842908378574693	849
NFKB2	39	0.2838661457334803	850
MEF2C	61	0.2831259205711987	852
