Node	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Node_Type	Expression_significant	PPI_significant	Module_genes_count
Module_10	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	53
ZNF704					TFs			
PURG					TFs			
KLF12					TFs			
STOX2					TFs			
ZBTB12					TFs			
CSRNP3					TFs			
PATZ1					TFs			
STAT6					TFs			
RELB					TFs			
SOX8					TFs			
ZBTB7B					TFs			
homocysteine					Metabolites			
Module_11	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	45
BATF					TFs			
MAFB					TFs			
RUNX2					TFs			
VDR					TFs			
SPI1					TFs			
VENTX					TFs			
STAT6					TFs			
IRF1					TFs			
N_formylglycine					Metabolites			
phosphoric_acid_(spectral_match)					Metabolites			
creatinine					Metabolites			
Module_12	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	66
PBX1					TFs			
VDR					TFs			
CSRNP3					TFs			
TFAP4					TFs			
ZNF704					TFs			
KLF12					TFs			
homocysteine					Metabolites			
Unknown_015					Metabolites			
Unknown_042					Metabolites			
Module_13	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	module	Yes	Yes	91
MYRF					TFs			
ST18					TFs			
ZSCAN25					TFs			
MYT1L					TFs			
SOX10					TFs			
ZNF726					TFs			
STAT2					TFs			
ZNF572					TFs			
L_mimosine					Metabolites			
cholesterol_(spectral_match)					Metabolites			
propylene_glycol					Metabolites			
heptadecanoic_acid					Metabolites			
Unknown_006					Metabolites			
Module_14	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	35
HES6					TFs			
HES5					TFs			
ASCL1					TFs			
MAX					TFs			
PBX1					TFs			
ZNF711					TFs			
THRA					TFs			
ZHX2					TFs			
CREB3L1					TFs			
SNAI1					TFs			
ATF5					TFs			
L_alanine					Metabolites			
creatinine					Metabolites			
Module_15	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	50
MYT1L					TFs			
ZBTB18					TFs			
SATB1					TFs			
SOX10					TFs			
POU6F2					TFs			
ETV7					TFs			
KCNIP3					TFs			
MYCL					TFs			
pyrophosphate					Metabolites			
Unknown_050					Metabolites			
2_hydroxyglutaric_acid					Metabolites			
propylene_glycol					Metabolites			
Module_16	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	159
KLF8					TFs			
ZNF558					TFs			
ZNF208					TFs			
POU6F2					TFs			
NPAS3					TFs			
ST18					TFs			
E2F5					TFs			
SOX10					TFs			
ZNF727					TFs			
RUNX2					TFs			
ZNF536					TFs			
creatinine					Metabolites			
Unknown_011					Metabolites			
DL_3_aminoisobutyric_acid__(spectral_match)					Metabolites			
Module_17	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	42
STAT6					TFs			
ZNF445					TFs			
ZFP2					TFs			
PBX1					TFs			
ZBED3					TFs			
ZNF66					TFs			
ZNF782					TFs			
ZNF142					TFs			
POU2F1					TFs			
ZSCAN26					TFs			
ZNF398					TFs			
ZBTB8B					TFs			
ZNF384					TFs			
propylene_glycol					Metabolites			
fructose					Metabolites			
myo_inositol					Metabolites			
Module_18	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	26
IKZF3					TFs			
hypotaurine					Metabolites			
DL_3_aminoisobutyric_acid__(spectral_match)					Metabolites			
Module_19	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	43
THRA					TFs			
MLX					TFs			
DBP					TFs			
GRHL3					TFs			
RFX4					TFs			
KLF15					TFs			
ZBTB47					TFs			
PRDM4					TFs			
HLF					TFs			
ZBTB5					TFs			
homocysteine					Metabolites			
Unknown_046					Metabolites			
pyrophosphate					Metabolites			
Module_20	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	36
SIX1					TFs			
ZNF649					TFs			
STAT6					TFs			
ZBTB12					TFs			
NR6A1					TFs			
KLF17					TFs			
E2F1					TFs			
myo_inositol					Metabolites			
Unknown_017					Metabolites			
3_phosphoglycerate					Metabolites			
Module_21	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	Yes	48
MYT1L					TFs			
OLIG1					TFs			
OLIG2					TFs			
ELK1					TFs			
ZNF649					TFs			
SOX8					TFs			
MYCN					TFs			
OSR1					TFs			
RORA					TFs			
STOX2					TFs			
creatinine					Metabolites			
Module_23	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	42
MYT1					TFs			
ZBTB12					TFs			
SOX11					TFs			
ZNF217					TFs			
SOX8					TFs			
ZNF107					TFs			
ZNF69					TFs			
NR2C2					TFs			
2_hydroxyglutaric_acid					Metabolites			
creatinine					Metabolites			
scyllo_inositol					Metabolites			
glycerol_3_phosphate					Metabolites			
Unknown_031					Metabolites			
Module_24	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	27
IKZF1					TFs			
LYL1					TFs			
CEBPA					TFs			
SNAI3					TFs			
IRF8					TFs			
ZFHX4					TFs			
Unknown_027					Metabolites			
Module_25	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	Yes	29
MEF2A					TFs			
ESR2					TFs			
ZBED1					TFs			
TFAP4					TFs			
MXD3					TFs			
NFIB					TFs			
SALL3					TFs			
NR2F1					TFs			
HES6					TFs			
myo_inositol					Metabolites			
scyllo_inositol					Metabolites			
Module_26	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	Yes	43
ZNF500					TFs			
CC2D1A					TFs			
ZNF775					TFs			
ZBTB45					TFs			
ZNF444					TFs			
ZNF853					TFs			
SLC2A4RG					TFs			
ZNF835					TFs			
ZNF333					TFs			
Module_27	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	31
ZNF24					TFs			
SP3					TFs			
SP4					TFs			
ELF4					TFs			
FOSL2					TFs			
ZNF519					TFs			
IRF4					TFs			
RELB					TFs			
RFX8					TFs			
VDR					TFs			
NFE2L3					TFs			
POU3F2					TFs			
ZNF396					TFs			
Unknown_015					Metabolites			
Module_28	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	Yes	27
TFEC					TFs			
RUNX2					TFs			
KLF3					TFs			
ATF6					TFs			
VENTX					TFs			
ELF1					TFs			
SPI1					TFs			
HHEX					TFs			
LEF1					TFs			
D_ribose_5_phosphate					Metabolites			
fumaric_acid					Metabolites			
pyrophosphate					Metabolites			
O_phosphocolamine					Metabolites			
Unknown_017					Metabolites			
sucrose					Metabolites			
Module_29	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	21
ZSCAN25					TFs			
ZNF786					TFs			
ZKSCAN5					TFs			
ZNF775					TFs			
ZSCAN21					TFs			
L_2_aminoadipic_acid					Metabolites			
Module_30	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	39
MYT1					TFs			
DBX2					TFs			
SOX4					TFs			
SOX10					TFs			
E2F3					TFs			
E2F2					TFs			
BCL11B					TFs			
ZNF519					TFs			
ZNF469					TFs			
RORB					TFs			
TFCP2L1					TFs			
Module_32	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	module	No	Yes	32
RFX4					TFs			
ZHX3					TFs			
ZNF487					TFs			
MYB					TFs			
ZNF592					TFs			
SALL1					TFs			
SOX21					TFs			
MSX2					TFs			
ZNF275					TFs			
D_fructose_6_phosphate					Metabolites			
fructose					Metabolites			
Module_33	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	17
EGR2					TFs			
JUNB					TFs			
FOS					TFs			
KLF6					TFs			
NR4A3					TFs			
EGR1					TFs			
creatinine					Metabolites			
Unknown_021					Metabolites			
Module_34	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	35
IRF7					TFs			
SP110					TFs			
PLSCR1					TFs			
SP100					TFs			
ZNF511					TFs			
STAT1					TFs			
ETV7					TFs			
VENTX					TFs			
RELB					TFs			
KLF11					TFs			
galactitol					Metabolites			
L_alanine					Metabolites			
DL_isoleucine					Metabolites			
Module_36	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	No	Yes	29
FOXJ1					TFs			
GRHL1					TFs			
ZNF19					TFs			
ZNF487					TFs			
FOXP4					TFs			
ZNF165					TFs			
CREB3L4					TFs			
MEIS1					TFs			
Unknown_002					Metabolites			
N_formylglycine					Metabolites			
Unknown_013					Metabolites			
D_glucose_6_phosphate					Metabolites			
Module_37	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	28
ZNF493					TFs			
ZNF333					TFs			
ZNF14					TFs			
ZNF317					TFs			
ZNF43					TFs			
ZNF585A					TFs			
Unknown_004					Metabolites			
Module_38	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	31
ZNF248					TFs			
MYRF					TFs			
ZNF25					TFs			
ZNF37A					TFs			
POU6F2					TFs			
ZNF576					TFs			
GRHL1					TFs			
ZNF560					TFs			
ZNF33A					TFs			
SOX10					TFs			
2_hydroxyglutaric_acid					Metabolites			
glycerol_3_phosphate					Metabolites			
Module_39	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	26
POU3F1					TFs			
ZNF630					TFs			
TEAD2					TFs			
STOX2					TFs			
ZNF182					TFs			
NFKB2					TFs			
L_glutamic_acid					Metabolites			
2_hydroxyglutaric_acid					Metabolites			
Module_40	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	module	Yes	Yes	21
MYRF					TFs			
SOX10					TFs			
TFEB					TFs			
ZNF208					TFs			
ZNF492					TFs			
glycerol_3_phosphate					Metabolites			
Module_41	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	module	No	Yes	26
ATF7					TFs			
NFIC					TFs			
SP2					TFs			
SKI					TFs			
FOXJ2					TFs			
ZFHX3					TFs			
MNT					TFs			
ZNF319					TFs			
RREB1					TFs			
FOXP4					TFs			
Unknown_035					Metabolites			
hypotaurine					Metabolites			
Module_42	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	module	Yes	Yes	33
ZBTB6					TFs			
CREB1					TFs			
ELK4					TFs			
ZNF131					TFs			
RBPJ					TFs			
SP3					TFs			
scyllo_inositol					Metabolites			
L_methionine					Metabolites			
Module_43	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	20
BHLHE40					TFs			
MAFF					TFs			
NFIL3					TFs			
STAT3					TFs			
SRF					TFs			
ZBTB39					TFs			
LRRFIP1					TFs			
NFE2L3					TFs			
ZNF395					TFs			
Unknown_015					Metabolites			
putrescine					Metabolites			
L_aspartic_acid					Metabolites			
Module_44	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	32
POU6F2					TFs			
EMX2					TFs			
ST18					TFs			
SIX1					TFs			
NR3C2					TFs			
MEF2C					TFs			
MAFG					TFs			
RORB					TFs			
ZNF146					TFs			
ZNF483					TFs			
MECOM					TFs			
homocysteine					Metabolites			
pyrophosphate					Metabolites			
Unknown_046					Metabolites			
Module_45	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	18
BCL6B					TFs			
TBX3					TFs			
FOXQ1					TFs			
ZNF366					TFs			
MECOM					TFs			
ZNF362					TFs			
ZNF517					TFs			
SOX17					TFs			
homocysteine					Metabolites			
D_mannose					Metabolites			
putrescine					Metabolites			
Module_46	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	66
ZNF442					TFs			
STAT6					TFs			
ZNF577					TFs			
ZNF254					TFs			
ZNF285					TFs			
ZBTB8B					TFs			
ZNF891					TFs			
PGBD1					TFs			
ZBTB12					TFs			
NFE2L2					TFs			
ZSCAN16					TFs			
ZEB1					TFs			
RELB					TFs			
2_hydroxyglutaric_acid					Metabolites			
Module_47	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	44
MYT1L					TFs			
ZNF600					TFs			
BCL6					TFs			
ZNF512					TFs			
creatinine					Metabolites			
D_mannose					Metabolites			
Module_49	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	16
ZNF217					TFs			
ZNF423					TFs			
SOX6					TFs			
ZNF524					TFs			
SATB1					TFs			
ZNF512					TFs			
MYT1L					TFs			
IRF3					TFs			
ZNF581					TFs			
TAL1					TFs			
SOX8					TFs			
MYT1					TFs			
ATOH8					TFs			
heptadecanoic_acid					Metabolites			
2_hydroxyglutaric_acid					Metabolites			
pyrophosphate					Metabolites			
Module_50	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	Yes	29
ZNF585A					TFs			
ZNF445					TFs			
ZBTB8B					TFs			
ZNF774					TFs			
ZNF66					TFs			
ZNF493					TFs			
PGBD1					TFs			
ZNF606					TFs			
fructose					Metabolites			
myo_inositol					Metabolites			
Module_51	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	19
ZNF787					TFs			
GMEB2					TFs			
NR2F6					TFs			
IRF3					TFs			
ZNF408					TFs			
ZNF628					TFs			
KLF16					TFs			
ZNF581					TFs			
SIX5					TFs			
sucrose					Metabolites			
scyllo_inositol					Metabolites			
Unknown_050					Metabolites			
Module_52	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	18
GLIS3					TFs			
ZBTB7C					TFs			
PKNOX2					TFs			
STAT3					TFs			
MAFB					TFs			
Unknown_023					Metabolites			
heptadecanoic_acid					Metabolites			
Unknown_028					Metabolites			
D_ribose_5_phosphate					Metabolites			
Module_53	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	22
ZNF778					TFs			
ZSCAN16					TFs			
ZNF404					TFs			
ZNF141					TFs			
ZNF578					TFs			
ZNF610					TFs			
ZNF670					TFs			
FOXJ3					TFs			
SLC2A4RG					TFs			
ONECUT2					TFs			
2_hydroxyglutaric_acid					Metabolites			
glycerol_3_phosphate					Metabolites			
D_fructose_6_phosphate					Metabolites			
Module_55	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	10
ZNF572					TFs			
ETV7					TFs			
MXD4					TFs			
TFAP2E					TFs			
ZNF837					TFs			
ZNF266					TFs			
SP140L					TFs			
MZF1					TFs			
2_hydroxyglutaric_acid					Metabolites			
Module_57	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	No	23
ZNF217					TFs			
MYT1L					TFs			
SATB1					TFs			
SOX10					TFs			
MYRF					TFs			
MYT1					TFs			
2_hydroxyglutaric_acid					Metabolites			
heptadecanoic_acid					Metabolites			
pyrophosphate					Metabolites			
Module_58	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	14
ZNF395					TFs			
CSRNP2					TFs			
ZNF641					TFs			
ENO1					TFs			
RARA					TFs			
ZNF316					TFs			
Module_59	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	Yes	No	58
MEF2C					TFs			
IRF8					TFs			
POU6F2					TFs			
ZNF334					TFs			
ZNF793					TFs			
PPARG					TFs			
LHX6					TFs			
ZNF260					TFs			
Module_61	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	11
EBF1					TFs			
POU3F2					TFs			
FOXS1					TFs			
ZNF215					TFs			
LEF1					TFs			
ERG					TFs			
NPAS3					TFs			
ZNF366					TFs			
FOXL1					TFs			
MEF2C					TFs			
Unknown_046					Metabolites			
myo_inositol					Metabolites			
scyllo_inositol					Metabolites			
Module_63	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	29
ZNF704					TFs			
RUNX2					TFs			
HES5					TFs			
FOSL2					TFs			
ZNF674					TFs			
NFKB1					TFs			
NFIA					TFs			
STAT6					TFs			
PBX1					TFs			
L_leucine					Metabolites			
homocysteine					Metabolites			
Module_65	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	11
ZNF713					TFs			
MEIS1					TFs			
SOX9					TFs			
TBX1					TFs			
FOXG1					TFs			
ZNF18					TFs			
MLXIP					TFs			
2_hydroxyglutaric_acid					Metabolites			
Module_67	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	No	12
USF1					TFs			
ZBTB17					TFs			
MAZ					TFs			
ZBTB38					TFs			
ZNF672					TFs			
ZNF878					TFs			
E2F1					TFs			
HES4					TFs			
phosphoenolpyruvic_acid					Metabolites			
scyllo_inositol					Metabolites			
DL_isoleucine					Metabolites			
Module_68	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	19
ZNF614					TFs			
ZNF227					TFs			
ZNF112					TFs			
ZNF615					TFs			
ZNF283					TFs			
3_phosphoglycerate					Metabolites			
Unknown_046					Metabolites			
linoleic_acid					Metabolites			
D_ribulose_5_phosphate					Metabolites			
Module_70	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	No	Yes	46
FOXJ1					TFs			
RORB					TFs			
POU6F2					TFs			
N_formylglycine					Metabolites			
D_glucose_6_phosphate					Metabolites			
D_fructose_6_phosphate					Metabolites			
fumaric_acid					Metabolites			
Module_71	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	39
ZNF566					TFs			
ZNF146					TFs			
ZNF283					TFs			
ZNF793					TFs			
ZNF573					TFs			
ZNF461					TFs			
ZNF569					TFs			
ZNF780B					TFs			
ZNF527					TFs			
ZNF19					TFs			
ZNF285					TFs			
ZNF227					TFs			
ZNF606					TFs			
ZNF112					TFs			
ZNF614					TFs			
ZNF780A					TFs			
Unknown_004					Metabolites			
Unknown_010					Metabolites			
Module_72	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	13
SP100					TFs			
ELK3					TFs			
IRF1					TFs			
PLSCR1					TFs			
ZC3H8					TFs			
RUNX1					TFs			
SP140L					TFs			
myo_inositol					Metabolites			
pyrophosphate					Metabolites			
homocysteine					Metabolites			
pantothenic_acid					Metabolites			
Module_73	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	16
NFE2					TFs			
ATMIN					TFs			
CEBPD					TFs			
Unknown_021					Metabolites			
Module_74	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	No	No	12
ZNF93					TFs			
ZNF83					TFs			
MSC					TFs			
ZNF880					TFs			
Module_78	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	module	Yes	Yes	35
ZNF572					TFs			
FOXL1					TFs			
NFIB					TFs			
ETV7					TFs			
HEYL					TFs			
TEAD3					TFs			
TFAP2E					TFs			
ATF1					TFs			
ZNF248					TFs			
MXD4					TFs			
SNAI2					TFs			
ZNF213					TFs			
HLX					TFs			
2_hydroxyglutaric_acid					Metabolites			
glycerol_3_phosphate					Metabolites			
Module_81	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	11
MYBL2					TFs			
E2F2					TFs			
E2F8					TFs			
FOXM1					TFs			
E2F1					TFs			
L_alanine					Metabolites			
O_phosphocolamine					Metabolites			
Unknown_022					Metabolites			
Module_82	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	27
IKZF3					TFs			
DL_3_aminoisobutyric_acid__(spectral_match)					Metabolites			
Module_83	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	22
ZNF134					TFs			
ZNF776					TFs			
ZNF549					TFs			
ZNF615					TFs			
RXRG					TFs			
ZNF211					TFs			
ZNF17					TFs			
ZNF264					TFs			
ZNF416					TFs			
ZNF543					TFs			
Module_86	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	No	Yes	27
ZBTB7A					TFs			
NFIC					TFs			
SKI					TFs			
ZNF592					TFs			
PLAGL2					TFs			
ZNF449					TFs			
CREB3L1					TFs			
CIC					TFs			
Unknown_050					Metabolites			
Module_89	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	15
IKZF1					TFs			
LYL1					TFs			
CEBPA					TFs			
SPI1					TFs			
HHEX					TFs			
DL_3_aminoisobutyric_acid__(spectral_match)					Metabolites			
Module_90	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	16
ZNF398					TFs			
ZSCAN25					TFs			
ZNF786					TFs			
ZKSCAN5					TFs			
GTF2I					TFs			
ZSCAN21					TFs			
L_2_aminoadipic_acid					Metabolites			
fructose					Metabolites			
DL_2_Aminoadipic_acid_(spectral_match)					Metabolites			
Module_95	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	10
ZBTB40					TFs			
RFX5					TFs			
GLI1					TFs			
KLF13					TFs			
MXD4					TFs			
DBP					TFs			
ZHX2					TFs			
POU5F1B					TFs			
myo_inositol					Metabolites			
Module_96	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	No	No	11
FOXJ1					TFs			
ZNF396					TFs			
ZNF625					TFs			
D_mannose					Metabolites			
Module_101	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	10
KLF8					TFs			
ZNF558					TFs			
GTF2IRD1					TFs			
ZNF433					TFs			
ZGPAT					TFs			
ELF2					TFs			
ZNF727					TFs			
POU6F2					TFs			
ZNF266					TFs			
RFX5					TFs			
glycerol_3_phosphate					Metabolites			
Module_103	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	No	10
ZNF560					TFs			
KLF16					TFs			
CREB3L4					TFs			
SP3					TFs			
ZSCAN16					TFs			
ONECUT2					TFs			
ZNF274					TFs			
2_hydroxyglutaric_acid					Metabolites			
