Regulator	Target	Score	Lemon_module	Type
H31_[27]_(K)_Me3	NDRG1	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	STX12	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	FCGR1A	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	ITGAL	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	ADAM9	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	AZU1	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CST3	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	B3GAT3	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	SATB1	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	RHOT2	15.150344768516346	4	hPTMs-gene
H2A_[5]_(K)_Ac	PTPRJ	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	ARID3A	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	SLC12A9	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	TREX1	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	TLR2	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CD300LF	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	IAH1	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	GRN	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	ATG7	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	PRTN3	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	SERPINB8	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	SELENOT	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CYBB	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CYBA	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	HRAS	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CD70	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	HEXB	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CLGN	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	GNB2	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	SIRPA	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	EPB41L3	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	NDRG1	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	STX12	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	FCGR1A	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	ITGAL	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	ADAM9	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	AZU1	10.702091714711171	4	hPTMs-gene
H2A_[5]_(K)_Ac	CST3	10.702091714711171	4	hPTMs-gene
