Regulator	Score	N_modules	N_targets	Modules	Targets
9_oxo_10_e_,12_e__octadecadienoic_acid_HI	2.101074934592277	1.0	67.0	0	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
n_methyl_2_pyrrolidone_C18	2.0914732535411478	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
d_sphingosine_HI	2.0816997500093137	1.0	10.0	7	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
histamine_C18	2.0728784486886083	1.0	15.0	15	SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
np_002855_HI	2.054702316403609	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
4_methyl_5_oxo_2_pentyl_2,5_dihydrofuran_3_carboxylic_acid_HI	2.0376691972786607	1.0	33.0	9	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
citroflex_4_C18	1.9357506782185292	1.0	10.0	7	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
ecgonine_HI	1.881438564647868	1.0	33.0	9	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
l_phenylalanine_HI	1.803651609892632	1.0	13.0	14	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
cuminaldehyde_HI	1.7427810646528092	1.0	44.0	4	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
2,3,4,9_tetrahydro_1h_beta_carboline_3_carboxylic_acid_HI	1.6964278980657308	1.0	11.0	18	NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
np_015114_HI	1.6903057380322135	1.0	26.0	8	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
2,6_dimethylpyrazine_C18	1.63562126523113	1.0	26.0	8	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
3_{2_[_1r,4as,5r,8as__6_hydroxy_5__hydroxymethyl__5,8a_dimethyl_2_methylidene_decahydronaphthalen_1_yl]ethyl}_2,5_dihydrofuran_2_one_HI	1.6269523347895405	1.0	26.0	8	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
2_pyridylacetic_acid_HI	1.536191161774304	1.0	13.0	16	ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
n_acetylaspartylglutamic_acid_HI	1.526346798836681	1.0	15.0	15	SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
asparagine_HI	1.5011625323791131	1.0	67.0	0	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
l_norleucine_C18	1.438174541366294	1.0	13.0	16	ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
p_cresol_glucuronide_HI	1.349422904048571	1.0	67.0	0	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
monobutyl_phthalate_HI	1.2698718742825428	1.0	13.0	16	ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
