Regulator	Targets
d_____glucose_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
4_acetamidobutanoic_acid_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
valylglycine_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
3_methylhippuric_acid_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
asymmetric_dimethylarginine_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
creatine_C18	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
gamma_glutamylvaline_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
4_methyl_5_oxo_2_pentyl_2,5_dihydrofuran_3_carboxylic_acid_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
ecgonine_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
n_acetyl_l_aspartic_acid_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
