Module,N_genes,N_PPIs_observed,N_PPIs_expected,Fold_enrichment,P_value,PPI_density,FDR
88,147,175,98.28861694471101,1.7804706734091134,1.4084938300542407e-12,0.016307893020221786,5.425309567616334e-12
41,26,21,2.976777607588396,7.054608294038103,6.251737534412865e-12,0.06461538461538462,2.32207394135335e-11
60,1040,5389,4948.59509485495,1.0889959466683663,1.6217291567188314e-11,0.009974457688605907,5.8158562861640847e-11
65,11,10,0.5037623643611132,19.850629398808515,8.339388342968313e-11,0.18181818181818182,2.890987958895682e-10
32,32,23,4.543020594965675,5.062710925300962,4.742030624345264e-10,0.046370967741935484,1.5908747901029273e-09
31,101,87,46.25454436406584,1.8808962707583912,4.9359903071549474e-08,0.01722772277227723,1.604196849825358e-07
29,21,13,1.9234563002878866,6.758666676260995,1.014294454187345e-07,0.06190476190476191,3.1965643404692083e-07
21,48,31,10.331708127260647,3.0004719082418903,1.319289752991761e-07,0.0274822695035461,4.035474538563033e-07
26,43,26,8.270862091237912,3.143565895935346,5.481540758966742e-07,0.028792912513842746,1.6288006826644032e-06
42,33,19,4.836118697866686,3.928770401847519,7.202745064677262e-07,0.03598484848484849,2.0807930186845423e-06
14,35,20,5.449792850815679,3.669864258603255,1.0638685304220228e-06,0.03361344537815126,2.9903331665916316e-06
64,40,23,7.14426625821215,3.219364896088817,1.6096842777127001e-06,0.029487179487179487,4.405451707424232e-06
91,13,7,0.7144266258212151,9.79806707505292,8.087370545793975e-06,0.08974358974358974,2.15663214554506e-05
63,29,14,3.7186821805565806,3.764774541153339,3.140626037656775e-05,0.034482758620689655,8.165627697907614e-05
28,27,12,3.2149198161954677,3.732596980972541,0.00012158320332532911,0.03418803418803419,0.0003065154506202917
50,29,13,3.7186821805565806,3.4958620739281008,0.0001237850858274255,0.03201970443349754,0.0003065154506202917
35,31,14,4.25908180778032,3.287093470340335,0.00013155323171345403,0.030107526881720432,0.0003181752580976563
89,15,6,0.9617281501439433,6.238769239625533,0.0004382417301088077,0.05714285714285714,0.001035844089348091
