Regulator	Target	Score	Overall_rank
FOXL1	40	0.2882427374091084	900
SKOR1	40	0.2826241209615517	919
ZHX2	40	0.2784690641786398	929
ZNF445	41	2.560961105962198	78
ZBTB8B	41	2.0136420873134826	108
PBX1	41	2.0080897123753134	109
ZNF606	41	0.7755316955737035	336
ZKSCAN8	41	0.6852567206619853	385
PGBD1	41	0.4543202974628437	591
ZNF577	41	0.36717407173793637	705
STAT6	41	0.34762650737729733	740
CSRNP2	42	1.680397977128989	144
ZNF641	42	0.7631637084920297	344
RARA	42	0.7089075543097104	375
ZNF846	42	0.6659015617381523	401
ZNF395	42	0.5215559379236927	523
HSF4	42	0.3687880548301485	704
IRF6	43	0.9545304174190846	266
E2F2	43	0.8668114060110315	291
ZNF565	43	0.3327588475482908	785
SKIDA1	43	0.289527256151999	897
STAT2	43	0.2869680241528048	904
NFE2	44	5.565344328428332	21
ATMIN	44	0.4222908571096542	624
IRF7	45	6.1863294256416195	16
STAT1	45	3.470763977897992	48
ZNF658	45	0.3410753528387046	761
ZBTB46	46	1.288769385009367	196
ELF4	46	1.1831353138075513	220
IRF4	46	0.8688956166600132	287
ZBTB7C	46	0.7413834711521591	356
ETV3	46	0.6558662635988971	405
MSC	46	0.5596588240356056	486
EBF1	46	0.3323718576776592	786
VENTX	46	0.30439811184330046	855
FOXD1	47	1.8997755474729647	118
TBX15	47	1.2086982899729657	212
HOXA10	47	0.6805421700777453	388
ZNF770	47	0.3434281611869349	754
MYBL2	47	0.304171060353887	856
ZNF138	48	5.150216633486764	24
ZNF680	48	2.2681094993242867	93
ZNF107	48	0.7417072701092303	355
ZNF92	48	0.6178437824769973	429
ZNF117	48	0.3251975099915403	806
ZNF329	49	4.107338564019551	36
ZNF28	49	2.023597053095959	106
ZNF135	49	1.355510756313	187
ZNF140	49	0.4357411520108254	612
THAP11	50	1.4640853839923915	171
ZNF32	50	1.4619982680140506	173
KLF13	50	0.6378727599124386	418
ZNF689	50	0.5982190816218742	450
NRF1	50	0.5176428950763936	526
TFAP4	50	0.3616790770546092	717
ZNF48	50	0.2988158120127324	867
ZNF467	50	0.2849987192799753	910
ZNF649	51	0.8629168120051627	295
SP4	51	0.8627814236570287	296
ZNF704	51	0.7198780053364248	369
FOXG1	51	0.6933483534600049	381
ZBTB7B	51	0.6524532279342984	409
POU3F2	51	0.6388708858137563	416
ZFP37	51	0.41436482808510305	635
SOX8	51	0.36961244203579213	702
MAFB	51	0.3400781711694287	766
ZIK1	51	0.31755206314984386	821
SP1	51	0.292684985999167	886
STAT6	51	0.286938680326278	906
ZNF431	52	3.6783732937732454	44
ZNF43	52	2.1677532494362053	101
ZNF253	52	2.0574072424465726	104
ZNF675	52	0.7794225126514057	334
ZFP30	52	0.7232604624095188	365
ZNF506	52	0.46328440066740006	583
ZNF627	52	0.45073461260108083	594
ZNF90	52	0.4498021471432788	597
ZNF737	52	0.3594916545801455	721
ZNF66	52	0.3066596928496551	848
ZNF614	52	0.293122310700945	884
ZNF254	52	0.2908019694083026	892
ZNF500	53	1.2553754567226778	201
ZNF8	53	1.1111520746410026	235
ZFHX2	53	0.9166893741156604	275
TFAP4	53	0.8896764207003549	282
ZNF236	53	0.6965016526799004	379
NFIX	53	0.5639985871325219	481
ZNF142	53	0.5473766168032591	502
ZNF496	53	0.42477309788083234	621
ZNF34	53	0.3721201044388623	696
ZNF66	53	0.3655417124375281	709
ZNF445	53	0.3642932197786903	714
IRF8	53	0.359740931839156	720
ZNF384	53	0.3446628535313169	748
GTF2IRD1	53	0.3164576982135061	822
FOXK2	53	0.31280228544712496	831
EBF4	53	0.2914651834677503	889
GRHL1	53	0.2737240802693634	946
BATF	54	5.402860806058268	22
STAT6	54	1.6650868914065502	145
ELF4	54	0.709011637734	374
ZNF784	54	0.3752462388292501	693
SPI1	54	0.37234606642976603	695
STAT1	54	0.341662447268944	760
VENTX	54	0.31902441143579996	815
FOSL2	54	0.2968369195530178	874
ZNF672	54	0.29022228356792884	896
PAX8	55	0.6229861428093642	426
ETV3	55	0.4356871128847462	613
FOXN2	55	0.3853890341547919	676
FOXF1	55	0.3301622094335983	792
SHOX2	55	0.29040321295376653	894
ZNF648	56	1.311945124673646	190
ZNF530	56	0.8436683513020424	307
ZIK1	56	0.6684787341461389	399
NFE2L2	56	0.6259519030191297	424
ZBTB12	56	0.479870853345248	563
ZNF286B	56	0.47425499696058243	572
STAT6	56	0.30495898567607405	854
DMTF1	56	0.2978604670862275	868
STAT6	57	4.3764890748118255	33
NFIA	57	1.853916521470774	125
RUNX2	57	1.779021270687603	129
FOXS1	57	0.5498441856611738	500
RUNX1	57	0.5136440723797673	528
VDR	57	0.4598487034338005	586
FOXL1	57	0.44626541708121664	601
GLIS3	58	0.773231110520703	340
ELF2	58	0.6958414892162796	380
NPAS3	58	0.6279339913411394	422
TCF7	58	0.595206690875895	454
ZNF101	58	0.525262920286198	520
STOX2	58	0.5161648087649534	527
MSX1	58	0.4777782898743587	566
ZBTB46	58	0.4456208697629011	603
ZNF280B	58	0.38252241830940537	682
ZNF789	58	0.34850297261170277	737
EBF1	58	0.34726646443647124	741
POU3F2	58	0.34577661154112654	745
MEF2B	58	0.3225511181115733	808
ZNF562	59	2.492978287423423	82
ZNF136	59	1.4401731433355818	175
ZNF77	59	0.7308462047328859	360
ZNF587B	59	0.5716287809950832	473
ZNF749	59	0.5088106938247403	534
ZNF616	59	0.49825643122871643	544
ZNF14	59	0.4894733300432319	553
ZNF17	59	0.48447630881205384	559
ZSCAN22	59	0.42661159029926854	620
