Module,N_genes,N_PPIs_observed,N_PPIs_expected,Fold_enrichment,P_value,PPI_density,FDR
56,25,7,2.705366514864742,2.5874497823264337,0.02021958190496957,0.023333333333333334,0.0436317293738817
103,12,3,0.5951806332702433,5.040486588947598,0.022019280626456993,0.045454545454545456,0.04669606063886569
109,24,6,2.4889371936755627,2.410667499061895,0.040530679754614614,0.021739130434782608,0.08449616287826436
77,21,5,1.8937565604053195,2.6402548799249326,0.04280310267830436,0.023809523809523808,0.08774636049052394
32,18,4,1.3797369225810185,2.8991033975646316,0.05065427973661709,0.026143790849673203,0.10213895750170332
15,42,13,7.76440189766181,1.674307972635323,0.05228682829747432,0.015098722415795587,0.10373032065466681
13,94,48,39.417190121579296,1.217742813527491,0.10046991339637629,0.01098146877144818,0.19615554520244893
30,24,5,2.4889371936755627,2.0088895825515793,0.10643215467877051,0.018115942028985508,0.20454929727326207
106,45,13,8.92770949905365,1.456140570140417,0.11801621772740951,0.013131313131313131,0.21339441829704317
101,330,516,489.53607086477507,1.0540592015793155,0.11832183290986711,0.009505388228792483,0.21339441829704317
112,12,2,0.5951806332702433,3.3603243926317323,0.11970906392273155,0.030303030303030304,0.21339441829704317
118,12,2,0.5951806332702433,3.3603243926317323,0.11970906392273155,0.030303030303030304,0.21339441829704317
105,12,2,0.5951806332702433,3.3603243926317323,0.11970906392273155,0.030303030303030304,0.21339441829704317
9,72,29,23.049722706647604,1.2581496258797213,0.12856596401071435,0.01134585289514867,0.22590876533311235
41,31,7,4.193318098040351,1.6693224402106024,0.13082746847454707,0.015053763440860216,0.2266447693291449
68,13,2,0.703395293864833,2.843351409149927,0.1565129861923795,0.02564102564102564,0.2673763514119816
52,18,3,1.3797369225810185,2.1743275481734736,0.1609476469568332,0.0196078431372549,0.27118576131082855
10,40,10,7.03395293864833,1.4216757045749635,0.17203182820056306,0.01282051282051282,0.2859447955225575
81,14,2,0.8206278428423052,2.4371583506999377,0.19834327927846235,0.02197802197802198,0.32528297801667827
55,19,3,1.542058913472903,1.9454509641552133,0.20124909613513353,0.017543859649122806,0.32570577400817663
12,189,168,160.21180501029002,1.0486118672042286,0.27821176311904655,0.009456264775413711,0.4444161930343211
119,16,2,1.0821466059458968,1.8481784159474528,0.294563335333637,0.016666666666666666,0.46450372110304294
102,17,2,1.2264328200720165,1.6307456611301052,0.3472735969920337,0.014705882352941176,0.5406918029116473
110,11,1,0.4959838610585361,2.016194635579039,0.3923990008055014,0.01818181818181818,0.6033134637384584
92,18,2,1.3797369225810185,1.4495516987823158,0.40175053084317114,0.013071895424836602,0.6100656209100006
99,12,1,0.5951806332702433,1.6801621963158662,0.4500263957646125,0.015151515151515152,0.6492095926910921
88,12,1,0.5951806332702433,1.6801621963158662,0.4500263957646125,0.015151515151515152,0.6492095926910921
100,12,1,0.5951806332702433,1.6801621963158662,0.4500263957646125,0.015151515151515152,0.6492095926910921
76,12,1,0.5951806332702433,1.6801621963158662,0.4500263957646125,0.015151515151515152,0.6492095926910921
97,24,3,2.4889371936755627,1.2053337495309475,0.4539189022067799,0.010869565217391304,0.6492095926910921
83,67,20,19.93855121455315,1.0030819082482783,0.524675803431884,0.009045680687471733,0.7417830324381809
46,21,2,1.8937565604053195,1.056101951969973,0.5656341117480391,0.009523809523809525,0.7906022243751001
6,51,11,11.497807688175154,0.9567041211963285,0.598814529700614,0.008627450980392156,0.8275751365525339
85,15,1,0.9468782802026597,1.056101951969973,0.6137169746098002,0.009523809523809525,0.8295295371099497
72,15,1,0.9468782802026597,1.056101951969973,0.6137169746098002,0.009523809523809525,0.8295295371099497
38,47,9,9.748337341895954,0.9232343613428533,0.6391047843156241,0.008325624421831638,0.854455309465454
21,28,3,3.408761808729575,0.8800849599749775,0.6631853251746952,0.007936507936507936,0.8717614575054643
117,23,2,2.281525760869266,0.8766063632952344,0.6662242032968589,0.007905138339920948,0.8717614575054643
111,30,3,3.922781446553876,0.7647634824610149,0.7517019954088362,0.006896551724137931,0.9732562677398616
19,71,18,22.409452631462948,0.8032324705123738,0.8525265120537434,0.007243460764587525,1.0
107,29,2,3.6612626834502846,0.5462596303292964,0.8813479851799331,0.0049261083743842365,1.0
59,35,3,5.365643587815072,0.5591127981017504,0.9039930146825291,0.005042016806722689,1.0
8,56,8,13.88754810963901,0.5760556101654398,0.9669613052872071,0.005194805194805195,1.0
29,102,34,46.45114306022762,0.7319518478999812,0.9764010506209906,0.006600660066006601,1.0
22,188,132,158.51644199430814,0.8327211886621814,0.9865107658192139,0.007509386733416771,1.0
1,87,6,33.73592044036334,0.1778519726653523,0.9999999991604498,0.0016038492381716118,1.0
50,16,0,1.0821466059458968,0.0,1.0,0.0,1.0
42,11,0,0.4959838610585361,0.0,1.0,0.0,1.0
60,303,248,412.5954471820218,0.6010730406595873,1.0,0.005420409590627937,1.0
58,11,0,0.4959838610585361,0.0,1.0,0.0,1.0
48,11,0,0.4959838610585361,0.0,1.0,0.0,1.0
49,13,0,0.703395293864833,0.0,1.0,0.0,1.0
70,18,0,1.3797369225810185,0.0,1.0,0.0,1.0
67,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
66,13,0,0.703395293864833,0.0,1.0,0.0,1.0
78,18,0,1.3797369225810185,0.0,1.0,0.0,1.0
93,35,0,5.365643587815072,0.0,1.0,0.0,1.0
89,17,0,1.2264328200720165,0.0,1.0,0.0,1.0
90,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
91,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
87,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
65,21,0,1.8937565604053195,0.0,1.0,0.0,1.0
96,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
115,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
113,14,0,0.8206278428423052,0.0,1.0,0.0,1.0
120,16,0,1.0821466059458968,0.0,1.0,0.0,1.0
121,10,0,0.4058049772297113,0.0,1.0,0.0,1.0
