GeneA,GeneB
PIBF1,CPNE2
RPL13A,RPS6
DIP2B,RAD21
OPTN,SGSM1
C1orf116,CDH1
ARPIN,CDH1
FAM171B,CDH1
RNF115,VCP
SS18L1,BRD3
COL4A4,SERPINH1
HSPG2,BGN
RRP8,SRBD1
RBM5,ZRSR2
TRIM32,ATXN1
VPS50,CD79B
PNMA8A,NOC3L
KRTAP19-5,ATPAF2
GSTM3,SYMPK
DCP1B,C8orf33
ZHX1,FBXO38
SYMPK,P4HA2
DCAF4,NEUROG3
ERBB2,SLITRK3
CLTC,ATG16L1
HDAC5,EEF1G
ACP7,PINK1
PHB2,LZTFL1
PHB2,ASB14
BRD9,UBE2A
YJU2,H2BC8
RTF1,UBE2A
ABCB6,RAMP3
CGAS,SKIV2L
CGAS,FAM111A
WWP1,SCNN1B
RAMP3,TMEM209
RAMP3,SLC25A19
RAMP3,HDHD5
RAMP3,DHRS7B
RAMP3,SFXN2
NME2,CBR1
MYO5A,PPP6R2
NRG1,SCNN1A
H2AC8,UTP3
EPHA1,GPN3
NGF,PSEN2
IFIT3,PSEN2
XRN2,HNRNPK
FHL3,MYPOP
SEC61A2,PSME2
STT3A,RAB9A
ZNF620,MFAP1
IBA57,PARL
SNX18,SDC2
PLIN3,RAB9A
TRIM42,TASOR2
EXTL3,SLC39A4
POLR3H,ELAVL2
ARAP1,ARHGEF4
SERF2,TJP2
MYH8,ACTA1
ACADL,NDUFA12
GLCE,PEX19
PEX19,DCAKD
TUBGCP4,KRT4
ATP6AP2,TMEM199
AHNAK,NOL9
POGZ,PRR20B
EFNB1,UBE4A
BCAS2,PPIL1
ST6GALNAC6,SERPINB4
NDRG1,ST6GALNAC6
PGLYRP3,HSPB1
ZNF197,HSPB1
JAG2,TSHR
GHRHR,TSHR
CRHR2,TSHR
ZNF286A,HERC2
PSMA3,GNPNAT1
NCBP1,EIF4A3
SLC7A8,HSPA2
CADM4,FBXO2
SLC25A25,APLNR
HSPA2,CORO7
HSPA2,BLOC1S3
HSPA2,KCNC4
FBXO2,SDK2
FBXO2,SEZ6L2
ATAD3A,TUFM
ZNF473,POLR2D
CSNK1A1L,TNFRSF1B
POP7,TNFRSF1B
PJA1,SPSB4
BBS7,CCDC88A
RPRD1A,GOLGA5
RPRD1A,SPSB4
MAP1LC3C,SAFB2
ITGA6,KRT14
HMGN2,H2AC11
HMGN2,UTRN
L3MBTL1,GLUD1
EDA,SIDT2
YME1L1,OMA1
GJA3,MCM2
MCM2,H2AC15
TNIK,ANKRD36B
TNIK,SHTN1
MYEF2,ZRANB1
NECTIN3,OTX1
CA14,PDHB
OTX1,KLHL26
MRPL13,DUSP11
TRAP1,PLS3
TRAP1,FAN1
ACOX1,SSUH2
IDH3G,OGDH
LEPROTL1,GPR152
MIDEAS,TRIP13
ACTN1,NUMBL
EIF2AK2,PSG11
ABHD10,RPUSD4
HOXD13,RBPJ
FANCD2,UHRF1
CISD2,PACC1
CCDC22,BORCS6
ALDH3A2,CIP2A
PNKP,CCDC14
PNKP,GAS8
GLMN,PACC1
FARS2,FHL5
PACC1,SGPL1
MED11,HELZ2
UQCR10,ATP5MF
SPAG8,CISD2
CRHR1,HTR6
GABBR1,KCNJ10
DDB2,DCLRE1C
AHSA1,MYH2
SPTBN5,SOS1
TET3,SIN3A
NR2E3,SIN3A
PCDHGC3,YES1
DMBT1,STK11
CSF2RA,JAK2
ATP6V1C2,ECSIT
NACC1,BCOR
ECSIT,TMEM79
SLC2A1,FASTKD1
MARCHF5,USP30
PARD6A,WNT5A
EDEM2,MCU
PDPR,NUDCD1
PLCB1,ITPKC
PLCB1,GNAT1
HMBS,NR2C2
TUBB8B,NR2C2
NR2C2,G6PC3
NR2C2,ABHD14B
WWOX,SLC15A2
PRKCA,SCP2
FOXP4,PRKCA
LYST,ANAPC4
SARS1,PRR3
ZBTB16,ADAMTS4
TNRC6C,LIMD1
RPUSD3,NDC1
CDIPT,JAGN1
ITGB4,GEMIN7
IDE,NSFL1C
TNFSF13B,NCAPD2
MLNR,MTX3
ESF1,JPH3
MAGEA4,AMOTL2
PLEKHG3,JPH3
LZTS2,CABLES1
LZTS2,ZMAT1
MKI67,NAV2
ZKSCAN3,LZTS2
CD177,RAB1A
UGGT1,TCTN1
MCF2,ROCK1
MCF2,RAC3
FOSL2,PRMT6
FCGR1A,ADIPOQ
EGF,STAM
EGF,S100A4
S100A4,BEX2
PRMT6,BEX2
CXXC1,SULF2
ABR,MCF2
RAB3IP,ARF4
CILK1,CPSF1
POM121C,SEH1L
METTL3,DDX3Y
WDR5,SLC7A6OS
LIG4,APTX
TNPO2,KIR2DL4
RBFOX2,RBM22
SPICE1,ARG1
GPR89A,TACR1
NEFM,PTPN12
MYL12A,LIG4
CIB1,ITGB3
PYHIN1,ZNF646
ADCY6,LGALS9B
DUSP15,RPS17
FSHB,HTR7
CTPS1,PINX1
SUGP2,PAIP1
APOBEC3C,THAP12
SND1,MYB
PAIP1,MYB
PDCD6,ARID1B
DLG4,HGS
PPIE,EIF4A3
KRTAP10-3,JOSD1
GNMT,KRTAP10-3
JUN,NEFM
PRMT2,RIPK2
ZNF707,H2AC21
LY96,RIPK2
FLT1,CCL3
TIMM8A,XRCC3
KCTD12,RIPK2
B4GALT7,CCL3
SEC24A,SEC22B
P3H3,CCL3
KXD1,DYRK2
H1-3,NOP10
GDI1,RAB6B
CIAO2A,PKMYT1
PAF1,BMX
DNAJB1,WT1
ZNF467,NOL10
ZNF467,ZNF22
ZNF467,SMARCA1
ZNF467,TSPYL2
AKAP13,ARHGAP29
FKBP7,CIAO2A
CMKLR1,EXOC4
THRA,NR0B2
NDUFC2,SLC18A2
MYO9A,ARHGEF3
WWTR1,MOB1A
EDN1,NTSR2
EDN1,GPRC6A
WIF1,PNPT1
WIF1,CTSV
UPK1A,HIP1R
UPK1A,HMOX1
PNPT1,MTG1
MOB1A,S100A8
HOXB9,HSPB2
NTSR2,TAC1
NTSR2,XCL2
GPRC6A,TAC1
GPRC6A,XCL2
RNASEL,STAT1
LAMP3,TUBB2B
LAMP3,GLS
ERN1,CLEC12B
PPTC7,MRPS18C
SLC27A2,SAAL1
EDC3,DCLK1
ATP2B2,LAGE3
SAAL1,ENTPD2
DAG1,SRC
SENP6,SP1
MAPK14,PAK3
MAPK14,BNIP5
GNA13,CXCR4
SCN4A,SEC62
ALOX12B,NMB
DEUP1,PRPF4B
ACKR2,SEC62
CLTB,GTSE1
CLTB,APPL1
NME7,SCAF11
COL8A1,MMP3
NDEL1,ZNF264
CREB3,TMEM243
CREB3,C2
CREB3,ZDHHC9
SMARCB1,MACROH2A1
FMR1,SFPQ
GOLGA7,SSRP1
HOXB6,PRRC2A
AHSG,TRIM24
SSX2IP,AEN
SSX2IP,AHI1
BBC3,CHCHD2
GAS2L2,CHCHD2
FOXD4,CHCHD2
DLG4,NTRK2
C15orf48,RTN4IP1
RMND1,SLC39A9
P2RY11,ADM2
GDI2,ARHGAP10
NOC2L,BRF2
TMEM9,DNM3
CHAF1A,H3-3B
HRH2,P2RY11
H3-3B,RNF8
ATP13A2,TMEM9
CHN1,GDI2
PDZK1IP1,GAST
HLA-F,GPIHBP1
C9orf72,MSN
COL6A2,PLOD3
COL6A2,GPIHBP1
AKAP8,NIPBL
VARS1,FOXH1
VARS1,CAV2
DHFR,PRIM2
KLC3,TRIM26
UBAC1,AIRE
SCN2B,EIF2B4
SERPINA12,FTH1
SLC9A3R2,SLC4A7
RXFP1,GLP2R
HLA-DQB1,DCTN5
CERS2,PTPRG
FTH1,SBSN
PDIA6,PRKAG2
MTIF3,GATC
ABHD12,PTCH1
CHSY1,PTCH1
BTN2A1,PTCH1
NXF1,RPRD1A
NXF1,PPHLN1
TUBA8,IGSF8
PRICKLE1,PSMB9
SCNM1,TCEAL1
SCNM1,PPP1R16A
HAUS1,ASB7
NEK6,PPP1R16A
AGPAT1,AGPAT4
AGPAT1,AGPAT5
AGPAT1,ITGAM
AGPAT1,EVPL
PARD6B,CCNK
WRN,SKAP1
UBE2E2,MUL1
BIK,ZFPL1
ATP6V0A1,SLK
GLI1,ZIC1
GLI1,PLRG1
LHFPL5,ITGB2
ARID5A,ZIC1
LAMA5,CFC1
RNF151,KNOP1
PRKN,TAX1BP1
AUH,GTPBP6
AUH,FOXRED1
AMOT,LONP2
ARHGEF39,SEC16A
GRIK2,SDCBP
TOMM34,TIMMDC1
VPS52,RABEP2
PHC2,MLLT6
ACTG1,TRAF2
EXOC6,STX3
PKP1,PTDSS1
PHLDA3,LBR
IGLL5,PTDSS1
MAGEA8,INTS5
MAGEA8,COQ8B
TPX2,CDK11B
DAB2,ATXN1L
CCT8L2,CDK11B
CCT8L2,PTPN13
ATP5MG,PHLDA3
H1-5,USP6NL
MAD2L2,HEPACAM2
MRPS17,ACAD10
CLK2,ZSCAN21
ITGA1,TPM1
RAD54L2,TAX1BP1
LPCAT3,PRKD2
WASHC1,BAG4
WASHC1,TPM1
BAG2,GREB1
UVRAG,ZNF768
ATRX,ZBED1
WRAP73,NCOA5
NDUFB8,ATP5MC1
RHOG,ARHGAP9
RHOG,SRGAP1
RHOG,ARHGAP31
JUNB,UQCC1
SGO2,FEM1A
MANSC1,PTPRF
PAFAH1B2,TRIM63
CFTR,AIMP1
CFTR,MYO1D
GORASP2,PSMA3
VAV2,ARHGAP28
DESI1,PSMD8
KDM2A,NSD2
ANO6,ANAPC5
ARHGAP33,VAV2
TOM1L1,VAV2
UCP2,UQCRC2
PI15,PBXIP1
HTATSF1,PBXIP1
CSNK1G3,S1PR2
TENT5B,AKAP8L
PRKAR1B,PRPSAP2
AKAP8L,HTATSF1
IFT46,MTDH
BCAS3,MTDH
CCN2,MTDH
GPR151,ERGIC3
TOMM6,ERGIC3
ERGIC3,SELENOK
ERGIC3,PXMP2
SLC25A10,SOCS2
PABPC5,ZC3H14
DYNC1LI2,SH3GL1
DYNC1LI2,EPS15L1
ASCC3,B4GALT2
ASCC3,PABPC5
SPINT2,SACM1L
CCDC88C,MAPK8
LYN,CD72
LYN,CD86
HNRNPK,RPH3AL
GABARAPL2,HBG1
PFDN4,ARHGAP32
PFDN4,SUPT6H
TTC9C,RNF111
PUM2,RBMS1
RBMS1,TIAL1
RNF111,TSPYL1
CNTROB,ARCN1
CNTROB,CEP120
SNRNP27,DHX16
SRSF10,DSG4
MTX2,CEP120
MRPL58,ATP5PB
CLEC4E,GPX8
PNPLA6,ANKRD55
ITFG1,TJAP1
GPR17,ELOVL2
RAB5C,IST1
RAB5C,SS18
CST6,TBC1D22B
ICE1,OFD1
TTLL5,OFD1
USP21,LRSAM1
DES,KRT37
PTP4A3,PRPSAP1
RABAC1,RAB6A
SH3BP4,USP21
ZC3H13,MED25
ZC3H13,RUSF1
ZNF410,PNMA1
SEMA4G,SFTPC
C1QL4,SFTPC
FUT11,SFTPC
RPP25L,PNMA1
MECP2,H4C6
CENPA,MIS18BP1
CTNNB1,PXN
TMEM209,GPR55
RRP7A,S100P
S100P,PXDN
IGF1R,DUSP26
TLN1,NLRP12
ERCC2,TAF13
DDIT4L,MYLIP
ARHGAP17,RASGRF2
PITX1,DZIP3
SIPA1L1,CDK16
MGAT5B,KRTAP12-2
HLA-E,CD3E
RHOD,ARHGAP17
RHOBTB2,ARHGAP17
FOXO1,PITX1
CUX1,GP9
CGA,CALCA
CDK4,EIF4EBP2
CDK4,USP51
AGAP2,RAC1
RBPMS,HSFY1
RBPMS,SMAP1
RBPMS,MYOZ2
TNFRSF21,NCOR2
BRWD3,NCOR2
NONO,CAST
NONO,BHLHE41
BRD4,BRDT
BRD4,NNMT
LGALS7B,OR2A4
KRT6A,KRT16
GTF2E1,TAF4
ARFIP2,KRT16
TKT,TPI1
FOXM1,GTF2E1
DHX8,FGF13
CDH5,PLD2
AP2M1,ABCC2
SOAT1,EEF1E1
SLC15A3,RARS2
SCD,CREB3L1
CAND2,SLC15A3
FABP4,MED9
CSNK1G2,IRS4
HELLS,ACLY
HELLS,MAGEA6
GLUL,C1orf94
SIRT2,ACLY
KHDRBS3,CACNA1A
VBP1,GPANK1
CGN,RTKN
NF1,RTKN
ANOS1,CCDC86
LNX2,PLEKHG5
SOD1,ITGB1BP1
IFI35,SOD1
H3C7,MTA1
DPY19L1,C3orf52
LIPH,C3orf52
COX7C,ATP5PO
C3orf52,SPTLC2
INSR,ATP6V0B
IKZF3,OAZ3
NRAS,KIAA1109
SNW1,EEFSEC
SNW1,SEC31B
GYPC,NRAS
SLITRK5,NRAS
SUSD5,NRAS
ZDHHC20,NRAS
EFR3B,NRAS
CYLC2,NRAS
GTF2H1,AR
PPEF1,CALR
MBL2,CALR
APBA2,DDX24
CCDC107,UBQLN4
CPT2,MCL1
TDRKH,TOMM22
FAM174A,FBXL12
FBXL12,CTDP1
CAB39,DNAJA3
KIR2DL3,AGTRAP
C2CD6,DNAJA3
C2CD6,CARD9
TRAPPC5,FAM174A
CPNE8,SRSF7
BNIP1,STX7
ABI3,FBF1
CCDC85C,FBF1
CTSB,FBF1
STX7,GOSR2
C1orf54,OLFM2
SNRPN,ESS2
TNPO3,FXYD3
ATN1,DMRT3
HEATR1,HS2ST1
NCKIPSD,WIPF1
NUFIP1,SYT1
NUFIP1,GNAO1
KASH5,MMP14
LACTB,MED13L
THBS1,GNG8
PGR,STAT5B
OTC,MRPS16
ATP2B1,PTPN3
IVL,DPPA4
GNAO1,GNG8
ASB6,COPS7B
APOA2,PHF11
ANG,MAT2A
TMEM87A,LAMB2
FGG,PHF11
MAPK11,MAP2K4
PRR20A,RHOXF2
ECI2,CAT
POU4F2,KRT38
EPB41L5,LIN7A
EPB41L5,CASQ2
NOP53,CASQ2
RETREG3,TSPAN8
RETREG3,POMGNT1
RETREG3,GIMAP5
RETREG3,ODR4
BICD2,RBM41
XPC,H3C1
CBY1,YWHAE
P2RY12,RFT1
HTR1B,RFT1
ZWINT,BAIAP2L1
NXF2,DUSP16
ZNF219,TRIM41
LAMA4,TUBB2A
NFXL1,TUBB2A
PAK5,LENG1
FURIN,SPP1
GHITM,GPR35
FOXL1,NCAPG
ATP2B4,TYROBP
PPP6R1,FOXL1
OSBPL8,FGD1
H4C8,RIOK1
H3C3,RIOK1
JMY,MYH9
ATXN1,RNF112
DAZ2,ATXN1
DALRD3,ATXN1
LOXL1,ATXN1
MAGEB18,ATXN1
DUSP18,ATXN1
COL1A1,COL5A2
ARHGAP6,ARHGEF7
ARHGAP30,ARHGEF7
RBM6,XRN2
PRDX4,ARHGEF17
ABI2,RAPH1
HLA-C,A4GNT
CEP250,F7
ZFP36L2,TRAPPC9
MBNL1,ARL8B
MBNL1,SERPINB13
OTX2,CDC25C
NAGLU,AVP
ARFGAP3,PRPS1
CRYBG1,NPSR1
SIAH1,KIAA0319L
WDR5B,ARHGEF1
NPAS2,PPARA
PPP2R1B,CTTNBP2NL
CLEC2D,INTS4
CLEC2D,MOGS
CLEC2D,DIPK1A
ADAM10,TMPRSS11B
ADAM10,SIRPD
TTC1,UNC119
ITPRID2,SCARB2
DNAAF2,STXBP1
GRIN2B,SLC1A1
ABTB2,TPM2
ACSL4,SLC1A1
COL4A1,KIFAP3
DBF4,CCNA1
TXNDC9,CCT6B
ZBTB33,TXNIP
SOS2,TAGLN2
SLC1A1,NDFIP1
TXNIP,HOMER1
PLXNA1,ECEL1
GET4,GIT2
QRFP,PTGFR
HFE,ECEL1
PTCD1,MRPL51
MYO9B,RHOF
HSPBP1,MKLN1
ARHGEF18,RHOF
ATXN2L,SUMO3
NET1,RHOF
PTGES3,TRMT6
PTGES3,DUSP8
TAB1,RFPL4B
APP,AVPI1
APP,GPAM
PRKACB,RABGGTB
TMX2,CYBC1
RTP2,TMX2
ACACB,SREBF1
DNAAF11,MEOX2
RAP1GAP2,MEOX2
MEOX2,ACSS1
MEOX2,ODAD4
MEOX2,ZNF695
NR2E3,MED1
H1-2,REV3L
FGFR3,PPP1R11
FGFR3,HS1BP3
FGFR3,NECTIN1
FGFR3,STX19
FGFR3,SLC7A8
SLC25A3,PTEN
A2M,CIR1
A2M,TGIF1
A2M,SHBG
CSNK1D,PSAP
PNPLA8,GFM1
PNPLA8,HINT2
ME2,GFM1
ME2,HINT2
FOXF2,RUNX1
METTL27,NDUFV2
RNF183,NDUFV2
RNF183,A2M
INO80C,H2AZ1
EVI5L,A2M
ADAMTS7,A2M
S1PR1,COLEC12
S1PR1,C1orf112
S1PR1,CNNM4
CDK5,SEPTIN11
RCOR1,ZNF174
PUF60,ID3
DDX19B,ZNF174
DDX19B,SULT2B1
DDX19B,OSTM1
DDX19B,GM2A
TWF1,CCP110
OTUD7B,PIK3R3
HSP90AA1,BMX
CASP8,EPSTI1
CASP8,PARP10
SMPD1,CASP8
FKBP2,RPL19
APOO,TOMM70
TMEM63B,SLC30A2
MME,PAM16
COL4A5,PLOD1
RBM7,PLOD1
TMEM17,PALM
ANLN,ADGRB2
CDO1,ANLN
CHUK,RICTOR
OSM,C1QBP
NPM2,C1QBP
GRSF1,MRPS24
PLEC,N4BP2
KRT79,USHBP1
ABCC4,S1PR4
STK3,DLG5
TRIM32,PIDD1
BAIAP2,DECR1
PDCD6IP,CHMP7
BCL11A,SP100
R3HDM1,XRN1
EYA3,SKI
EYA3,ATP1A3
EFNA2,ATP1A3
KLB,PIK3CB
NSUN4,YARS2
NSUN4,MAGEA9
HP,WASL
PAN3,ASF1A
FAM91A1,MAGEA9
ZNF526,PHF1
PHF1,KIAA0408
MAGEA9,EAPP
IPO7,PTPRH
IL17RA,TBCD
DYNC1I1,BTF3
TSGA10,ZNF587
IFIH1,CAMK2G
AARS2,TNFRSF10A
MTHFD1L,TNFRSF10A
ABCF1,PPP1R15A
DCTN6,DYNC1I1
ATP6V1A,DNAJC5
HNRNPCL1,PRKACG
PTK2B,IL2RG
EDNRB,XPO7
BTNL9,XPO7
ZZEF1,MFN2
PAX2,SNAI1
E2F7,SNAI1
ESD,OTUB1
ABCC5,SHMT2
SHMT2,H4C5
ARRB2,CPNE1
SFR1,RAD51
CTU2,MMS19
ANKRD13D,PTGER3
FOXA3,MAP2K3
GRK6,MMS19
MPHOSPH9,TNRC6A
SREK1IP1,CEP135
SIN3B,ACOX1
AHCYL1,PRDM6
AHCYL1,PLEKHA2
DGKZ,GNA14
UTP18,ZC3H10
GHRHR,PTH1R
H2AP,RAP1A
CRHR2,PTH1R
PPP1R13B,TCL1A
DUSP14,HNRNPA1L2
GPR68,CCKAR
RHOH,ARHGAP19
RHOH,ARAP3
GPR132,CCKAR
GPR132,PTGER1
GPR4,CCKAR
GPR4,PTGER1
RHOQ,ARHGAP19
RHOQ,ARAP3
PTGER1,GPR68
PRKCSH,SRP19
NDUFB6,NDUFB10
XCR1,GPR68
XCR1,GPR132
MCF2L,RHOH
MCF2L,RHOQ
FCGRT,SRP19
CYSLTR1,GPR68
CYSLTR1,GPR132
CYSLTR1,GPR4
EGFR,HSPA4
TUBB3,LAPTM4A
TUBB3,ABCC2
AK3,RPS14
LTA4H,IKBKE
LGALS1,PTGFRN
LGALS1,NTRK3
FKBP5,TTC4
FKBP5,LIMK2
PTS,SOCS1
LRRC41,SOCS1
PRKCE,FSCN1
RHOT1,SYDE2
LIN28B,MRPL32
EXT2,STK16
EXT2,SDC1
CSF2RB,JAK3
NR1H3,LAMTOR5
AKR1B1,NDN
HOXA1,FOXN1
KRR1,RIOK3
KRR1,TRIM71
MORN3,MKRN3
UBE4B,TP63
LUC7L,PSME3IP1
AP1B1,DNAJC6
TMEM106A,CHST12
TMEM106A,GAS6
LPAR6,MTX3
MAPKAP1,NAV1
PPL,FAM167A
PPL,FYCO1
NTNG1,NOMO1
GPC4,FGF2
PDLIM5,ZYX
TERT,GLIS2
LSM14A,PRMT8
COMT,AP1S2
AP2S1,NGF
B3GNT2,CBR1
B3GNT2,POMK
VPS13D,MAVS
FBXO32,MAVS
RPL30,ZNF354A
SNRNP200,SNRPE
SOX30,CUL5
PLXNA3,CLEC2B
CERCAM,SLAMF1
CERCAM,KLK15
CERCAM,FANCL
UBR2,NRP1
ANKRD46,SLAMF1
YIF1A,GJA8
AUP1,PTP4A1
ROR2,PLA2G10
TMOD3,SPHK1
TMOD3,SH3BGRL
CORO1C,SH3BGRL
EFEMP1,FAM110A
ETFB,CISD3
MTPAP,FAHD1
UPK2,FAM234A
UCHL5,H4C3
FTL,ZNF518A
UBB,NICN1
UBB,ZNF215
TLCD5,UBB
ADARB1,TCF20
ARID3A,TFDP1
TAB2,BOC
TAB2,BST2
KIF1B,ZXDC
KIF1B,PLEKHG7
CYB5A,KIF1B
ODAPH,PMPCA
PCDH17,HSPD1
HSPD1,NIPSNAP3B
WASF1,IFT20
PTPRK,WNT5A
JUND,NFATC1
PTPN23,SH3GL2
ADRB3,SH3GL2
NPC2,NEDD4L
HMGB1,WNK4
NEDD4L,DECR2
ENO1,HTRA3
ENO1,UBAP1
SEC61B,TNFRSF11A
CIC,ZBED4
CIC,ACAP2
MN1,PRKDC
ZNF384,CIC
ASB5,PRKDC
POTEF,DYRK2
GOLT1B,ATP6V1G1
GOLT1B,MRPL14
MYH10,PBX1
KRT17,RAB6B
PPID,S100A6
PBX1,CCDC120
ZNF707,DHX57
GFER,S100A6
MYCBP,POTEF
LY96,PLCG2
FCGR3A,PLCG2
FAU,H1-6
ARSK,GGH
P3H3,GGH
HMG20B,S100A6
NANOG,RUNX3
ENG,FSD1
BCL11B,DCAF1
SINHCAF,NANOG
MYH3,LATS1
LCE2D,PLSCR1
FGF10,GAB1
FGF9,GAB1
BHLHA15,KBTBD7
SLC19A2,ATP5PF
ENSA,PSEN1
RNF32,PSEN1
FAM135A,TNIP2
CMC2,TNIP2
HSPD1,LZTS2
FLNB,VCAM1
RCC1,VCAM1
CSNK1E,CAMKK1
SFSWAP,TMEM14B
MS4A13,TMEM14B
SFXN2,TMEM14B
PLK2,THRAP3
GOLGA3,PTRH2
PTRH2,TGFA
LGALS8,SLC12A2
ITPR3,TNNC2
EHHADH,DNTTIP2
EHHADH,NCDN
FBLN5,LTBP2
KLRC1,CDYL
KLRC1,AMIGO1
CMTR1,MEIS2
AKT2,FGF4
VSIG4,KLHDC3
KIF3A,KIF9
KIF3A,APTX
KIF9,BLZF1
DNMT3L,BLZF1
DNMT3L,PAX6
GRIN1,CAMK2B
MTFMT,MRPS14
KLHDC3,SLC31A1
P4HB,NOL4
AQP6,SERP2
VSTM1,AQP6
SERP1,AQP6
TMEM42,AQP6
TREX1,AQP6
PREB,NAAA
FIS1,SLC2A4
CLK3,CCDC9
CSRP1,FHL2
PROCR,ZDHHC5
ZDHHC5,GLO1
ZDHHC5,SMPDL3B
FHL2,TRAT1
DHX9,FBXO46
DHX9,OTUD3
PEX11A,NCOR1
SNW1,TBL1XR1
LPAR1,SELENOT
GJC1,LPAR1
RIPK4,AGPS
PRMT1,NR1H4
CBWD2,RIPK4
NOTCH2,INHBE
NOTCH2,SMOC1
NOTCH2,ZFP64
IMMT,MICOS13
EPHX1,TEX101
PPP6C,MINDY4
IMMP1L,NUDT19
EBP,TMEM120A
LEP,MED26
RSRC1,EXOSC4
IFT81,BICD1
PSMB8,ZMYND12
OTUD4,FMNL1
CLK1,MAP3K21
SORBS3,FAM53C
SORBS3,ITGA1
KRTAP6-2,HYAL2
KRTAP6-2,LRFN4
KRTAP6-2,PLSCR4
PGRMC1,GET3
LRCH3,ARHGEF11
BCCIP,THOC1
GPR12,SURF1
FMC1,RCN2
FMC1,STOML2
APOOL,STOML2
ACKR2,APOB
CLTB,CLTCL1
PTPRA,XPO4
ZNF250,FHL5
ATP5ME,CCDC14
NTS,QRFPR
NTS,NPFFR1
BLOC1S6,CDK5R1
ETS1,PPME1
AGO4,NLK
AGO4,PPME1
UQCR10,ATP5ME
BRF1,GTF3C4
GAS8,ZNF250
EPS8,BLOC1S6
ZNF688,GTF3C4
GADD45G,MAP2K6
NPFFR2,NTS
RAD51D,NFKBID
OXT,F2RL3
ITGB5,PLP1
TOPBP1,PPHLN1
TMOD1,ACTN3
SIRT4,ACAT1
POLD3,POLA2
MAP3K1,DCUN1D2
LBP,SMAD3
HOXC11,SMAD3
NCBP3,SRSF7
VPS37C,BIRC7
GANAB,FOXRED2
GANAB,PRKAG2
COPS8,DCAF6
EXOC5,SCN2B
FOXRED2,CASK
GPR37,KRT8
DEFA1,ITGAV
POLRMT,CDC14A
POLRMT,CLEC11A
DIS3,USP32
STAM2,SNF8
FLOT1,POLR3K
SH2D3C,CLN6
CLEC11A,TTR
FKBP7,TTR
LHB,PTGIR
DRD5,PTGIR
RBMX,RBM12B
EEF1G,TBC1D14
EEF1G,C1orf174
TP53,WRN
UBTF,CAMKV
PTPN4,UBE2O
SH3GLB2,STX4
CBLC,CCND2
STT3B,LRRC31
FAM9A,GTF2B
VTI1B,PPP2R5E
FBXL19,RNF40
ZACN,DGCR2
ATF6,PIGH
PPIF,GFM2
WWC1,YWHAG
DICER1,AURKA
ACTR3B,CCAR2
ASB2,TCF3
EARS2,P2RY10
IFI30,KRTAP4-12
P2RY10,COG3
CARM1,CPT2
HNRNPF,KRTAP7-1
ACTR3,CDC42
TMEM70,MRS2
SCGB2A2,BCHE
SCGB2A2,PPP1R9A
PPP1R9A,RPS6KA1
PPP2R5C,PPP4C
MAN2A2,SCGB2A2
FSTL1,CALML3
PPP1R18,KRT13
MCF2,SYDE1
LAMB3,MFAP4
SLC35B2,SLC7A1
FCGR1A,MALL
SLC30A9,MTCH1
BLM,NABP2
HPSE,STX17
RPL9,RPL28
IL17B,RBM28
ILK,AIFM1
PDE4B,PRKACA
DCTN1,ZC2HC1A
RAI2,FXR2
ATP5PB,STARD3NL
DHX35,SNRPG
ZC3H15,ISG15
GEMIN8,SNRPG
NFIX,ISG15
NINL,LZTS3
P2RY2,TTYH3
P2RY2,TMEM160
P2RY2,METTL9
NFKB2,PSG11
KIF2A,ZMYM1
KIF2A,KIF3C
HLA-DOB,KIF2A
HLA-DOA,KIF2A
H2AC17,H4C14
NME4,TSSK3
NBPF19,PTK7
RAB5IF,SSR4
LAMA1,CBX4
APLF,H2AC17
CIB3,NME4
AGPAT2,MFSD4A
COPE,MBD1
OSTF1,MED28
TES,TTC37
NEDD1,MZT1
NEDD1,DUSP5
CHRM4,YIPF4
CHRM4,ALG8
CHRM4,SARM1
FAM24B,TES
ZNF490,RPL36AL
CA9,STX10
HLA-DPA1,GALNT10
CASQ2,PRPF3
ALG13,TRIM56
ARHGAP1,ARHGEF3
IPO8,TPST2
IPO8,SIGLECL1
MCCC1,ATPAF2
WDR33,ALG13
POLD2,TCEA1
HMOX1,UFD1
DROSHA,PPFIA1
SIGLECL1,SYMPK
NTSR2,TAC3
NTSR2,NMBR
NTSR2,GNRH2
PDXDC1,RFXANK
GPRC6A,TAC3
GPRC6A,NMBR
GPRC6A,GNRH2
PHAX,NSFL1C
OMA1,RNH1
OMA1,TTC19
PDK3,UTRN
IDH3B,IRF2
TIAM2,SMARCD3
NEK7,RBM17
TAF6L,D2HGDH
MR1,CXCL9
PRMT3,DYNLL2
RPL38,TFE3
KMT2A,PAX5
TNRC6B,TBKBP1
ARPC4,ANLN
SUOX,KIAA0753
SUOX,ING5
C8orf82,QRSL1
ANAPC15,NCOA5
ARL13B,CD53
ARL13B,TNFRSF10C
COX5B,ATP5MC1
CSE1L,CDH1
RCBTB1,MAP1LC3B
PEF1,CUL3
VCP,SYN3
C11orf98,GSK3B
NRG1,GALNT12
PSME4,FBXL17
EXOC6,PSEN2
NOP9,EPHA1
FOXA3,MCM4
KDM4C,RANGAP1
RANGAP1,ARHGEF39
CRY1,KIF20B
C1orf131,CDC73
C1orf131,RPS15
PRPF40A,SCP2
RARB,CCNH
GOLGA6A,GADD45GIP1
PUSL1,ASH2L
