GeneA,GeneB
WAS,WIPF1
GH1,GHR
NCBP2,NCBP1
CKB,ASB9
RBBP5,SETD1A
SIN3A,SAP30
SMCR8,C9orf72
CHMP6,VPS25
GAB1,PTPN11
CRK,RAPGEF1
STAMBP,STAM
ITGA5,ITGB1
WAS,CDC42
MAD2L1,MAD2L1BP
DROSHA,DGCR8
SMAD2,SKI
TRAF2,RIPK1
UIMC1,BRCC3
MAPK14,MAP2K3
MORF4L1,MRGBP
UBA1,UBE2L3
RBPJ,MAML1
NFKBIA,IKBKG
TNFRSF1A,TRAF2
TAF6,TBP
MTMR8,MTMR9
DLG4,GRIN2B
RASSF1,STK4
RRAGB,RRAGC
KCNE1,KCNQ1
CDK9,CCNT2
PAF1,CDC73
USP12,WDR48
FADD,CFLAR
BRCC3,BABAM2
BABAM1,BABAM2
RAF1,BRAF
DDX58,TRIM25
RAB27A,MLPH
CDC23,CDC27
SAV1,STK4
IL18BP,IL18
TOPBP1,RAD9A
MAPK14,MAPKAPK3
NFYA,NFYB
MMP2,TIMP2
RRM1,RRM2
RNF20,RNF40
C1R,C1S
STK3,RASSF2
RXRA,NCOA1
STAM,HGS
KLHL3,CUL3
SCAP,INSIG1
TBK1,STING1
ORC1,ORC2
SMARCA4,SMARCE1
CASP8,TNFRSF10B
KDM2B,PCGF1
DCP2,DCP1A
PKD1,PKD2
CDK6,CDKN2A
MSH2,EXO1
CD28,CD80
EIF4A1,EIF4G1
WDR4,METTL1
GRIN1,GRIN2A
CXCL8,CXCR1
PPP2R1A,PPP2R2A
MAFG,NFE2L2
EPAS1,ARNT
BRCA1,PALB2
UBC,SQSTM1
EIF4E,EIF4EBP3
APOA1,LCAT
DDB1,CUL4B
PLAU,PLAUR
APBB1,APP
STX4,SNAP23
SMC1A,SMC3
FBXW7,CUL1
PTPN11,GAB2
PAK1,ARHGEF7
RFC4,RFC5
UBC,IKBKG
ATG3,ATG12
INSR,IRS1
FBXO4,SKP1
GZMB,BID
PPARG,MED1
SNCA,SNCAIP
DTX3L,PARP9
S100A1,S100B
ELOC,CUL5
CDK8,MED12
RB1,CCND1
VPS37A,TSG101
WDR5,SETD1A
CCM2,KRIT1
RAG1,RAG2
ATG14,PIK3R4
CDK6,CDKN2D
CDC37,HSP90AA1
MLH1,BRIP1
ZBTB33,CTNND1
BIRC2,DIABLO
IRAK1,TOLLIP
KMT2D,ASH2L
GTF2E1,GTF2E2
MEN1,KMT2A
NR5A2,NR0B2
STUB1,UBE2D3
ATG4B,MAP1LC3B
XRCC4,NHEJ1
