Module	Module_genes	Coherence	TFs_regulators	Metabolites_regulators	Top_3_pathways_molecular_function	Top_3_pathways_cellular_component	Top_3_pathways_biological_process	Top_3_pathways_Reactome	Top_3_pathways_KEGG	PPI_FDR	PPI_fold_enrichment	MetGene_FDR	MetGene_fold_enrichment	MetGene_N_interactions	Functional_Cluster	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Expression_rank	Expression_adjusted_pval
101	ELF2|ZBTB46|GREB1L|DACH1|FAM133A|ACKR1|ARHGAP36|BMP6|SEMA3D|KLF8	0.6142335195887374	KLF8|ZNF558|GTF2IRD1|ZNF433|ZGPAT|ELF2|ZNF727|POU6F2|ZNF266|RFX5	glycerol_3_phosphate	DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)|BMP Receptor Binding (GO:0070700)|Chemorepellent Activity (GO:0045499)	Aggresome (GO:0016235)|Intracellular Membrane-Bounded Organelle (GO:0043231)|Nucleus (GO:0005634)	Negative Regulation of DNA-templated Transcription (GO:0045892)|Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)|Cellular Response to Iron Ion (GO:0071281)	RUNX1 Regulates Transcription of Genes Involved in BCR Signaling	Malaria|Ovarian steroidogenesis|TGF-beta signaling pathway	0.4966302617841948	2.426188037632152	1.0	0.0	0	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	55	7.65245363666494e-05
23	FOXO6|TRIM71|NEU4|MYT1|LHFPL3|FLRT1|DLL3|MN1|DCX|C2orf80|TSPAN11|RCOR2|GRIK2|TOX3|PROM1|PCDH15|KIAA1755|MDFI|MEGF11|COL9A1|SEMA5B|FBN3|ZBTB12|RGR|SOX11|MEIS3|DGKI|TSHZ1|SNTG1|GPC2|PATZ1|COL20A1|NAT16|NKAIN1|ZFP69B|SNX22|FHDC1|SOX4|C1QL1|VAX2|ONECUT2|MEX3A	0.7180951844326536	MYT1|ZBTB12|SOX11|ZNF217|SOX8|ZNF107|ZNF69|NR2C2	2_hydroxyglutaric_acid|creatinine|scyllo_inositol|glycerol_3_phosphate|Unknown_031	Delayed Rectifier Potassium Channel Activity (GO:0005251)|GTPase Activity (GO:0003924)|Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111)	Neuron Projection (GO:0043005)|Dendrite Membrane (GO:0032590)|Dendrite (GO:0030425)	Action Potential (GO:0001508)|Positive Regulation of Calcium Ion-Dependent Exocytosis (GO:0045956)|Positive Regulation of Regulated Secretory Pathway (GO:1903307)	Neuronal System|Potassium Channels|Voltage Gated Potassium Channels	Aldosterone synthesis and secretion|Long-term potentiation|cGMP-PKG signaling pathway	0.9667259553715252	0.7608255170275041	1.0	0.5067907444668007	1	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	56	9.127994074041202e-05
24	SCIN|CEBPA|HAMP|PRR15|IRF8|CLEC17A|CD69|IRF5|CX3CR1|MEF2C|HHEX|SIGLEC8|ACSM5|CREBL2|IKZF1|FGF20|LYL1|MLXIPL|ANKRD22|TAL1|SNAI3|TMEM119|POU2F2|SP140|FLI1|P2RY12|OLR1	0.7980164945637604	IKZF1|LYL1|CEBPA|SNAI3|IRF8|ZFHX4	Unknown_027	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Macropinosome (GO:0044354)|Nucleus (GO:0005634)|Pericentric Heterochromatin (GO:0005721)	Regulation of DNA-templated Transcription (GO:0006355)|Positive Regulation of DNA-templated Transcription (GO:0045893)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	Transcriptional Regulation of Granulopoiesis	Transcriptional misregulation in cancer	2.5907022400625973e-13	7.465193961945082	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	59	0.00014721845782885432
83	ZNF551|ZNF132|ZNF419|ZNF180|ZNF773|ZNF264|ZNF304|ZNF776|ZNF17|ZNF805|ZNF671|ZNF543|ZNF749|ZNF530|ZNF416|ZNF211|ZNF582|ZNF175|ZNF350|ZNF134|ZNF792|ZNF613	0.8643770873991037	ZNF134|ZNF776|ZNF549|ZNF615|RXRG|ZNF211|ZNF17|ZNF264|ZNF416|ZNF543	NA	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	0.505435412705609	1.417902099914894	NA	NA	NA	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	61	0.0001957606567490288
19	SPX|ZNF483|AMER2|ERBB4|FAM107A|DAAM2|RGS9|GRHL3|SLC25A48|STOX1|PEBP4|CASQ1|MEGF10|ALDOC|ZBTB47|PI16|KCNJ10|PTGDR2|UPP2|SLC14A1|RANBP3L|LIX1|SIDT1|ADCY2|HPR|MYBPC1|GRIN2C|ADCYAP1R1|CD38|MAPK4|ENDOU|CDH20|PPP1R1B|SLC24A4|PSD2|KCNN2|NTRK2|A2ML1|ZNF423|ACBD7|ENHO|TTPA|ACSL6	0.6862936464374892	THRA|MLX|DBP|GRHL3|RFX4|KLF15|ZBTB47|PRDM4|HLF|ZBTB5	homocysteine|Unknown_046|pyrophosphate	Lipase Activator Activity (GO:0060229)|Phospholipase Activator Activity (GO:0016004)|Phosphotyrosine Residue Binding (GO:0001784)	T Cell Receptor Complex (GO:0042101)|Alpha-Beta T Cell Receptor Complex (GO:0042105)|Cytolytic Granule (GO:0044194)	T Cell Activation (GO:0042110)|Regulation of T Cell Activation (GO:0050863)|Regulation of Lymphocyte Activation (GO:0051249)	Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell|Adaptive Immune System|Generation of Second Messenger Molecules	Primary immunodeficiency|T cell receptor signaling pathway|Cell adhesion molecules	0.9129085230908373	0.8463446642902855	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	65	0.00033784647632674014
103	VHLL|ADAMTS20|ZNF560|SMOC1|ZNF239|PCDHA2|ZNF274|GRHL1|HES4|C1QL4	0.5685722326777214	ZNF560|KLF16|CREB3L4|SP3|ZSCAN16|ONECUT2|ZNF274	2_hydroxyglutaric_acid	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Basement Membrane (GO:0005604)|Collagen-Containing Extracellular Matrix (GO:0062023)	External Encapsulating Structure Organization (GO:0045229)|Extracellular Structure Organization (GO:0043062)|Regulation of DNA-templated Transcription (GO:0006355)	Defective B3GALTL Causes PpS|Diseases Associated With O-glycosylation of Proteins|O-glycosylation of TSR Domain-Containing Proteins	Neurotrophin signaling pathway|Herpes simplex virus 1 infection|Human papillomavirus infection	1.0	0.0	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	66	0.0007098628782415868
90	ZKSCAN1|ZKSCAN5|ZNF655|GTF2I|ZNF853|NRF1|ZNF12|RBAK|ZNF786|ZSCAN25|DMTF1|ZSCAN21|ZNF425|ZNF398|ZNF3|ZNF789	0.7361339557623507	ZNF398|ZSCAN25|ZNF786|ZKSCAN5|GTF2I|ZSCAN21	L_2_aminoadipic_acid|fructose|DL_2_Aminoadipic_acid_(spectral_match)	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)|Regulation of RNA Biosynthetic Process (GO:2001141)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	0.1653363547011191	2.7294615423361708	1.0	2.660651408450704	1	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	67	0.0008988575545793473
53	EXO5|PEG10|ZNF404|ZNF229|PCDHB3|ZNF274|ZNF681|PCDHGA1|PCDHGB1|TEX15|PCDHB4|ZNF578|ZNF695|PCDHB2|ZNF610|CD24|ZNF670|PCDHA11|PCDHA2|FAM218A|PCDHB5|PCDHA10	0.5373809926146972	ZNF778|ZSCAN16|ZNF404|ZNF141|ZNF578|ZNF610|ZNF670|FOXJ3|SLC2A4RG|ONECUT2	2_hydroxyglutaric_acid|glycerol_3_phosphate|D_fructose_6_phosphate	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Extracellular Membrane-Bounded Organelle (GO:0065010)|Extracellular Vesicle (GO:1903561)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Calcium-Dependent Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0016339)|Synapse Assembly (GO:0007416)|Cell Junction Assembly (GO:0034329)	Generic Transcription Pathway|Meiotic Recombination|RNA Polymerase II Transcription	Herpes simplex virus 1 infection	0.2617153358817137	1.8905361332198587	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	68	0.0014419764915613994
49	LRRC4C|SLITRK2|NCAM2|GRIA4|BRINP3|KCND2|IGLON5|DNER|SUSD4|SCN1A|CDH10|NKX2-2|B3GALT2|SCRG1|LHFPL4|RPE65	0.706053915336782	ZNF217|ZNF423|SOX6|ZNF524|SATB1|ZNF512|MYT1L|IRF3|ZNF581|TAL1|SOX8|MYT1|ATOH8	heptadecanoic_acid|2_hydroxyglutaric_acid|pyrophosphate	Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244)|AMPA Glutamate Receptor Activity (GO:0004971)|Beta-1,3-Galactosyltransferase Activity (GO:0048531)	Dendrite (GO:0030425)|Neuron Projection (GO:0043005)|Postsynaptic Density Membrane (GO:0098839)	Synapse Organization (GO:0050808)|Synaptic Membrane Adhesion (GO:0099560)|Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	Cardiac Conduction|Neuronal System|Phase 1 - Inactivation of Fast Na+ Channels	Cell adhesion molecules|Dopaminergic synapse|Maturity onset diabetes of the young	0.0105005697715861	4.549102570560285	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	69	0.0014576576458555212
61	SMPDL3B|LEF1|LRRC3|AGBL1|GLI1|FOXS1|MIA|SOX18|EBF1|CLIC5|NMUR1	0.6751662082613387	EBF1|POU3F2|FOXS1|ZNF215|LEF1|ERG|NPAS3|ZNF366|FOXL1|MEF2C	Unknown_046|myo_inositol|scyllo_inositol	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	beta-catenin-TCF Complex (GO:1990907)	Inorganic Anion Transport (GO:0015698)|Monoatomic Anion Transport (GO:0006820)|Cellular Response to Interleukin-4 (GO:0071353)	Binding of TCF LEF CTNNB1 to Target Gene Promoters|GLI Proteins Bind Promoters of Hh Responsive Genes to Promote Transcription|RUNX3 Regulates WNT Signaling	Basal cell carcinoma	0.1545432925030922	3.9701258797617034	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	71	0.0014863237268607245
42	ZBTB1|SP3|ZNF654|YY1|ZNF684|ZNF117|ZNF680|ZNF770|ZNF322|ZBTB34|CEBPG|ZNF148|GABPA|UBP1|ZNF280D|SMAD2|CCDC144A|ZNF140|ZBTB6|E2F5|SMAD5|ZNF92|ZBTB10|NFYB|POU5F2|ZBTB41|ELK4|RLF|ZNF281|ZNF644|ZBTB25|ZNF107|ATF2	0.5941365893682349	ZBTB6|CREB1|ELK4|ZNF131|RBPJ|SP3	scyllo_inositol|L_methionine	FMN Binding (GO:0010181)|GTP Binding (GO:0005525)|Interleukin-1 Binding (GO:0019966)	RNA Polymerase I Complex (GO:0005736)|RNA Polymerase II, Core Complex (GO:0005665)|RNA Polymerase III Complex (GO:0005666)	Peripheral Nervous System Development (GO:0007422)|Galactolipid Biosynthetic Process (GO:0019375)|Galactosylceramide Biosynthetic Process (GO:0006682)	Glycosphingolipid Biosynthesis	Ether lipid metabolism|Sphingolipid metabolism	2.0807930186845423e-06	3.928770401847519	1.0	0.0	0	Cluster_2	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	73	0.0022754882021676845
43	VEGFA|GPRC5A|MT1G|ANGPTL4|CA9|HILPDA|MAFF|STC2|NDRG1|SPAG4|CA12|ADM|HSPA6|PLIN2|ZNF395|CLEC5A|HMOX1|NFIL3|LOX|ENO1	0.7756220562828622	BHLHE40|MAFF|NFIL3|STAT3|SRF|ZBTB39|LRRFIP1|NFE2L3|ZNF395	Unknown_015|putrescine|L_aspartic_acid	Hydro-Lyase Activity (GO:0016836)|Carbonate Dehydratase Activity (GO:0004089)|Cadherin Binding (GO:0045296)	Cytoplasmic Vesicle Lumen (GO:0060205)|Lipid Droplet (GO:0005811)|Secretory Granule Lumen (GO:0034774)	+ Reg of Blood Vessel Endothelial Cell Proliferation Inv in Sprouting Angiogenesis (GO:1903589)|Cellular Response to Decreased Oxygen Levels (GO:0036294)|Cellular Response to Hypoxia (GO:0071456)	Regulation of Gene Expression by Hypoxia-inducible Factor|Reversible Hydration of Carbon Dioxide|Cellular Responses to Stimuli	HIF-1 signaling pathway|Nitrogen metabolism|Mineral absorption	1.3549007050826493e-12	10.343222686747596	1.0	4.257042253521126	2	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	74	0.004845106916385077
25	SEC14L6|FAM78B|RGS17|CNTNAP3B|GNA14|PTPRH|ZFX|SRPX|ESR2|CPNE8|ELMOD1|PTCHD4|NPAS2|ZNF436|EDA2R|BDNF|TGFA|DIRAS3|CNTNAP3|SCG2|RYR3|PCSK1|HTR4|GRIA1|SCN7A|AIRE|TRPM8|COL22A1|IGF2BP2	0.5572928915077228	MEF2A|ESR2|ZBED1|TFAP4|MXD3|NFIB|SALL3|NR2F1|HES6	myo_inositol|scyllo_inositol	Ligand-Gated Calcium Channel Activity (GO:0099604)	Coated Vesicle Membrane (GO:0030662)|ER to Golgi Transport Vesicle Membrane (GO:0012507)|Endoplasmic reticulum-Golgi Intermediate Compartment Membrane (GO:0033116)	Cellular Response to Calcium Ion (GO:0071277)|Negative Regulation of Apoptotic Signaling Pathway (GO:2001234)|Regulation of Trans-Synaptic Signaling (GO:0099177)	Constitutive Signaling by Aberrant PI3K in Cancer|Negative Regulation of the PI3K AKT Network|PI3K AKT Signaling in Cancer	Calcium signaling pathway|cAMP signaling pathway|Circadian entrainment	0.0010482877297732	3.2269496067028625	1.0	0.0	0	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	75	0.004845106916385077
29	SOX15|ZKSCAN1|ZKSCAN5|GTF2I|ZNF282|ZNF777|CUX1|ZNF853|ZNF746|ZNF775|NRF1|ZNF786|ZSCAN25|DMTF1|ZNF212|ZSCAN21|ZNF425|ZNF398|ZNF3|ZNF789|ZNF316	0.7268096500297496	ZSCAN25|ZNF786|ZKSCAN5|ZNF775|ZSCAN21	L_2_aminoadipic_acid	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of RNA Biosynthetic Process (GO:2001141)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	3.196564340469209e-07	6.758666676260995	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	79	0.02238305289691897
45	FOXF2|FOXL2|FOXL2NB|NODAL|ZNF366|BCL6B|NKD2|XPNPEP2|LRRC36|SPATA22|MECOM|KIT|TBX3|FOXQ1|TMEM45B|ST6GALNAC1|ERG|VWA2	0.6559252953109403	BCL6B|TBX3|FOXQ1|ZNF366|MECOM|ZNF362|ZNF517|SOX17	homocysteine|D_mannose|putrescine	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Exocytic Vesicle (GO:0070382)|Secretory Vesicle (GO:0099503)|Basement Membrane (GO:0005604)	Genitalia Development (GO:0048806)|Negative Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity	MAPK signaling pathway|Mucin type O-glycan biosynthesis|Signaling pathways regulating pluripotency of stem cells	0.9326049725310268	0.713584716950633	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	80	0.029337970540506905
51	ESRRA|ESPNL|NR2F6|ZGPAT|SIX5|HSF1|ZNF787|IRF3|NR1H2|ZNF408|ZNF524|KLF16|ZNF837|NACC1|SLC2A4RG|TEAD2|GMEB2|USF2|ZNF263	0.6552300272035577	ZNF787|GMEB2|NR2F6|IRF3|ZNF408|ZNF628|KLF16|ZNF581|SIX5	sucrose|scyllo_inositol|Unknown_050	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)|Nuclear Stress Granule (GO:0097165)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)|Positive Regulation of DNA-templated Transcription (GO:0045893)	Nuclear Receptor Transcription Pathway	Cytosolic DNA-sensing pathway|Legionellosis|RIG-I-like receptor signaling pathway	0.0024835189810699	4.469293753532911	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	81	0.029337970540506905
52	SERPINA3|ADAMTS15|TMEM132E|CYP21A2|PKNOX2|HMCN2|MSX1|SMIM5|CA3|C4B|MMEL1|CELSR1|ZBTB7C|SLC34A2|BCL6|GLIS3|HAS2|LRRC55	0.5696265926850447	GLIS3|ZBTB7C|PKNOX2|STAT3|MAFB	Unknown_023|heptadecanoic_acid|Unknown_028|D_ribose_5_phosphate	Axon Guidance Receptor Activity (GO:0008046)|Channel Activator Activity (GO:0099103)|Metalloendopeptidase Activity (GO:0004222)	Brush Border Membrane (GO:0031526)|Collagen-Containing Extracellular Matrix (GO:0062023)|Vesicle (GO:0031982)	Apical Protein Localization (GO:0045176)|Cellular Response to Platelet-Derived Growth Factor Stimulus (GO:0036120)|Epithelial Tube Branching Involved in Lung Morphogenesis (GO:0060441)	Diseases of Metabolism|Hyaluronan Biosynthesis and Export|Sodium-coupled Phosphate Cotransporters	Mineral absorption|Nitrogen metabolism|Steroid hormone biosynthesis	0.9326049725310268	0.713584716950633	1.0	4.730046948356807	1	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	82	0.031342038128246194
95	PYGM|THBS4|EFCC1|ZNF174|GLI1|ZBTB40|AVIL|PTCH1|CLIC5|SCUBE3	0.5848907616719158	ZBTB40|RFX5|GLI1|KLF13|MXD4|DBP|ZHX2|POU5F1B	myo_inositol	BMP Binding (GO:0036122)|BMP Receptor Binding (GO:0070700)|Pyridoxal Phosphate Binding (GO:0030170)	Actin Cytoskeleton (GO:0015629)|Ciliary Membrane (GO:0060170)|Sarcoplasmic Reticulum (GO:0016529)	Smoothened Signaling Pathway (GO:0007224)|Regulation of Smoothened Signaling Pathway (GO:0008589)|Actin Filament Capping (GO:0051693)	GLI Proteins Bind Promoters of Hh Responsive Genes to Promote Transcription|Hedgehog 'On' State|Hedgehog 'Off' State	Basal cell carcinoma|Hedgehog signaling pathway|cAMP signaling pathway	0.4966302617841948	2.426188037632152	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	84	0.04034397404002292
26	ZBTB45|GLI4|CC2D1A|WIZ|ZSCAN32|ZNF444|ZNF358|ZNF574|ZNF205|ZNF783|MYPOP|MEF2B|ZNF707|ZNF865|ZNF497|CIC|ZNF324B|ZNF496|ZFP41|ZNF581|E4F1|TCF3|ZNF512B|MZF1|ZNF628|ZNF576|ZNF692|ZNF500|ZNF554|ZNF384|ZNF579|ZNF446|ZNF784|ZNF296|ZNF584|ZNF341|ZNF414|ZNF580|GLIS2|ZNF324|ZNF792|ZNF835|ZNF526	0.688534128754655	ZNF500|CC2D1A|ZNF775|ZBTB45|ZNF444|ZNF853|SLC2A4RG|ZNF835|ZNF333	NA	Ligand-Gated Calcium Channel Activity (GO:0099604)	Coated Vesicle Membrane (GO:0030662)|ER to Golgi Transport Vesicle Membrane (GO:0012507)|Endoplasmic reticulum-Golgi Intermediate Compartment Membrane (GO:0033116)	Cellular Response to Calcium Ion (GO:0071277)|Negative Regulation of Apoptotic Signaling Pathway (GO:2001234)|Regulation of Trans-Synaptic Signaling (GO:0099177)	Constitutive Signaling by Aberrant PI3K in Cancer|Negative Regulation of the PI3K AKT Network|PI3K AKT Signaling in Cancer	Calcium signaling pathway|cAMP signaling pathway|Circadian entrainment	1.6288006826644032e-06	3.143565895935346	NA	NA	NA	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	85	0.042384399371309764
58	ESPN|ACAN|ATG9B|MCHR1|STC2|DNAH11|NXPH4|HSF4|ZNF395|RARA|PRPH|TFR2|STAC2|CSRNP2	0.632187523840672	ZNF395|CSRNP2|ZNF641|ENO1|RARA|ZNF316	NA	Phosphatase Binding (GO:0019902)|Phospholipid Scramblase Activity (GO:0017128)|Protein Kinase B Binding (GO:0043422)	Cytolytic Granule (GO:0044194)|HFE-transferrin Receptor Complex (GO:1990712)|Non-Motile Cilium (GO:0097730)	Bone Morphogenesis (GO:0060349)|Cellular Response to Estrogen Stimulus (GO:0071391)|Cellular Response to Iron Ion (GO:0071281)	Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d)|Defective CHST6 Causes MCDC1|Defective ST3GAL3 Causes MCT12 and EIEE15	Acute myeloid leukemia|Amyotrophic lateral sclerosis|Pathways of neurodegeneration	1.0	0.0	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	87	0.04974908918254654
30	KLRC2|DLX5|RARB|SAMD11|RASL11B|TFAP2A|MMP17|C1QL4|CDH3|ZNF469|ZFP69|CHRNA3|RGS8|KLHL35|EYA1|CABP7|ARHGEF16|SYT6|BCL11B|B4GALNT1|PDGFRA|WDR86|NPR3|BCL11A|BMPER|GDNF|KIF26A|IGF2|WNT7B|MAP3K15|B4GALNT3|F12|PODN|NHLH1|MYO5B|FCRLA|ZEB2|ELFN1|ULBP1	0.559504258934976	MYT1|DBX2|SOX4|SOX10|E2F3|E2F2|BCL11B|ZNF519|ZNF469|RORB|TFCP2L1	NA	Acetylgalactosaminyltransferase Activity (GO:0008376)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)	SWI/SNF Complex (GO:0016514)|Cytoplasmic Side of Plasma Membrane (GO:0009898)|Dendrite (GO:0030425)	Embryonic Organ Development (GO:0048568)|Embryonic Placenta Development (GO:0001892)|Enteric Nervous System Development (GO:0048484)	Formation of the Ureteric Bud|Specification of the Neural Plate Border|Gastrulation	Natural killer cell mediated cytotoxicity|Pathways in cancer|Signaling pathways regulating pluripotency of stem cells	0.0190661145968549	2.062750963169036	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	88	0.05466961345397463
81	E2F8|ZNF367|DLGAP5|E2F1|FOXM1|TOP2A|PBK|MXD3|ASPM|E2F2|MYBL2	0.9148076066314016	MYBL2|E2F2|E2F8|FOXM1|E2F1	L_alanine|O_phosphocolamine|Unknown_022	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)|Mitotic Spindle (GO:0072686)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)|Positive Regulation of DNA-templated Transcription (GO:0045893)	G0 and Early G1|Mitotic G1 Phase and G1 S Transition|Cell Cycle, Mitotic	Cellular senescence|Bladder cancer|Chronic myeloid leukemia	1.899613969312784e-43	57.56682525654469	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	91	0.06929292522557477
96	ZNF396|SLC47A2|MYZAP|AGT|A2ML1|RFX2|GCOM1|NWD1|ENTPD2|GMPR|MFAP4	0.6085067315099116	FOXJ1|ZNF396|ZNF625	D_mannose	GDP Phosphatase Activity (GO:0004382)|UDP Phosphatase Activity (GO:0045134)|Nucleoside Diphosphate Phosphatase Activity (GO:0017110)	Microfibril (GO:0001527)|Cortical Actin Cytoskeleton (GO:0030864)|Supramolecular Fiber (GO:0099512)	Elastic Fiber Assembly (GO:0048251)|Nucleoside Diphosphate Metabolic Process (GO:0009132)|UV Protection (GO:0009650)	Metabolism of Nucleotides	Purine metabolism	1.0	0.0	1.0	0.0	0	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	92	0.08142827302278804
32	RFX4|ADIG|GLI3|HOMEZ|C10orf62|PRDM5|SMAD3|GHRHR|TCF7L2|BCO1|RFX2|HEY1|ZNF846|UBQLN3|ZNF275|COL28A1|POU5F1B|GLI2|ZFHX4|SERPINI2|NTN5|TRIL|KRTAP5-9|CRYBB3|TEAD1|SOX13|TRPS1|AR|TBX6|GLIS2|KCNE2|ZNF521	0.5801434230001902	RFX4|ZHX3|ZNF487|MYB|ZNF592|SALL1|SOX21|MSX2|ZNF275	D_fructose_6_phosphate|fructose	NA	NA	NA	NA	NA	1.590874790102927e-09	5.062710925300962	1.0	0.0	0	Cluster_0	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	93	0.11068848496898995
