Module,N_metabolites,N_genes,N_interactions_observed,N_interactions_expected,Fold_enrichment,P_value,Interaction_density,FDR
85,3,384,2,13.530521091811416,0.14781396713615022,0.9999830105278898,0.001736111111111111,1.0
38,2,31,0,0.7282051282051283,0.0,1.0,0.0,1.0
36,2,29,0,0.6812241521918941,0.0,1.0,0.0,1.0
35,3,31,0,1.0923076923076924,0.0,1.0,0.0,1.0
34,2,35,0,0.8221670802315965,0.0,1.0,0.0,1.0
33,1,17,0,0.19966914805624483,0.0,1.0,0.0,1.0
32,2,32,0,0.7516956162117453,0.0,1.0,0.0,1.0
29,1,21,0,0.24665012406947892,0.0,1.0,0.0,1.0
25,2,29,0,0.6812241521918941,0.0,1.0,0.0,1.0
19,2,43,0,1.0100909842845327,0.0,1.0,0.0,1.0
18,1,26,0,0.30537634408602155,0.0,1.0,0.0,1.0
11,2,45,0,1.0570719602977667,0.0,1.0,0.0,1.0
10,1,53,0,0.6224979321753515,0.0,1.0,0.0,1.0
12,1,66,0,0.7751861042183623,0.0,1.0,0.0,1.0
45,3,18,0,0.6342431761786601,0.0,1.0,0.0,1.0
39,2,26,0,0.6107526881720431,0.0,1.0,0.0,1.0
40,1,21,0,0.24665012406947892,0.0,1.0,0.0,1.0
53,3,22,0,0.7751861042183623,0.0,1.0,0.0,1.0
51,2,19,0,0.44631927212572375,0.0,1.0,0.0,1.0
49,3,16,0,0.563771712158809,0.0,1.0,0.0,1.0
50,2,29,0,0.6812241521918941,0.0,1.0,0.0,1.0
42,2,33,0,0.7751861042183623,0.0,1.0,0.0,1.0
41,1,26,0,0.30537634408602155,0.0,1.0,0.0,1.0
44,2,32,0,0.7516956162117453,0.0,1.0,0.0,1.0
55,1,10,0,0.1174524400330852,0.0,1.0,0.0,1.0
64,2,40,0,0.9396195202646817,0.0,1.0,0.0,1.0
17,3,42,0,1.4799007444168735,0.0,1.0,0.0,1.0
14,1,35,0,0.41108354011579823,0.0,1.0,0.0,1.0
15,3,50,0,1.761786600496278,0.0,1.0,0.0,1.0
8,2,37,0,0.8691480562448305,0.0,1.0,0.0,1.0
6,2,65,0,1.5268817204301077,0.0,1.0,0.0,1.0
0,1,71,0,0.8339123242349049,0.0,1.0,0.0,1.0
1,1,68,0,0.7986765922249793,0.0,1.0,0.0,1.0
72,4,13,0,0.6107526881720431,0.0,1.0,0.0,1.0
70,4,46,0,2.1611248966087677,0.0,1.0,0.0,1.0
65,1,11,0,0.12919768403639373,0.0,1.0,0.0,1.0
68,2,19,0,0.44631927212572375,0.0,1.0,0.0,1.0
57,3,23,0,0.8104218362282879,0.0,1.0,0.0,1.0
61,2,11,0,0.25839536807278746,0.0,1.0,0.0,1.0
62,1,96,0,1.127543424317618,0.0,1.0,0.0,1.0
80,1,13,0,0.15268817204301077,0.0,1.0,0.0,1.0
78,2,35,0,0.8221670802315965,0.0,1.0,0.0,1.0
76,1,22,0,0.25839536807278746,0.0,1.0,0.0,1.0
92,2,13,0,0.30537634408602155,0.0,1.0,0.0,1.0
95,1,10,0,0.1174524400330852,0.0,1.0,0.0,1.0
96,1,11,0,0.12919768403639373,0.0,1.0,0.0,1.0
98,1,17,0,0.19966914805624483,0.0,1.0,0.0,1.0
100,2,15,0,0.35235732009925563,0.0,1.0,0.0,1.0
101,1,10,0,0.1174524400330852,0.0,1.0,0.0,1.0
102,1,11,0,0.12919768403639373,0.0,1.0,0.0,1.0
